obs,tic,gvkey,conm_x,CrossVerified_ExecType,DirectorName,Ethnicity,Race(black),BE_fromBermissData,Actual_Bermiss_discrepancy,Minority,Gender,Female,Num_Black_TMT,Active2020,CEO_Appointment_date_within_2020,DirectorName_source
48,EQIX,138743,EQUINIX INC,TMT,Peter Van Camp,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
49,EL,61567,ESTEE LAUDER COMPANIES INC,TMT,Leonard Lauder,Caucasian/White,0,1,1,0,M,0,2,Yes,,BoardEx
50,EL,61567,ESTEE LAUDER COMPANIES INC,TMT,The Hon. Ronald Lauder,Caucasian/White,0,1,1,0,M,0,2,Yes,,BoardEx
51,EL,61567,ESTEE LAUDER COMPANIES INC,TMT,Tracey Travis,African American/Black,1,1,0,1,F,1,1,Yes,,Bermiss
52,EL,61567,ESTEE LAUDER COMPANIES INC,TMT,William Lauder,Caucasian/White,0,1,1,0,M,0,2,Yes,,BoardEx
53,EXC,8539,EXELON CORP,TMT,Frank Clark,African American/Black,1,1,0,1,M,0,1,No,,Bermiss
54,F,4839,FORD MOTOR CO,TMT,Bill Ford Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
55,FOXA,34636,FOX CORP,TMT,Keith Murdoch,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
56,BEN,4885,FRANKLIN RESOURCES INC,TMT,Rupert Johnson Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
57,GIS,5071,GENERAL MILLS INC,TMT,Marc Belton,African American/Black,1,0,1,1,M,0,1,No,,Bermiss
58,GM,5073,GENERAL MOTORS CO,TMT,Alicia Boler Davis,African American/Black,1,1,0,1,F,1,1,Yes,,Bermiss
59,GILD,24856,GILEAD SCIENCES INC,TMT,Robin Washington,African American/Black,1,0,1,1,F,1,1,Yes,,Bermiss
60,HBI,175319,HANESBRANDS INC,TMT,Joia Johnson,African American/Black,1,1,0,1,F,1,2,Yes,,Bermiss
61,HSIC,61494,HENRY SCHEIN INC,TMT,Jim Breslawski,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
62,HLT,5643,HILTON WORLDWIDE HOLDINGS,TMT,Gregory Dillon,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
63,HD,5680,HOME DEPOT INC,TMT,Ann-Marie Campbell,African American/Black,1,1,0,1,F,1,3,Yes,,Bermiss
64,HD,5680,HOME DEPOT INC,TMT,Marvin Ellison,African American/Black,1,1,0,1,M,0,3,Yes,,Bermiss
65,HD,5680,HOME DEPOT INC,TMT,Teresa Wynn Roseborough,African American/Black,1,1,0,1,F,1,3,Yes,,Bermiss
66,HON,,HONEYWELL INTERNATIONAL INC,TMT,Robin Washington,African American/Black,1,,0,1,F,1,1,Yes,,manually added
67,HST,7063,HOST HOTELS & RESORTS INC,TMT,Dick Marriott,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
68,JBHT,5783,HUNT (JB) TRANSPRT SVCS INC,TMT,James Thompson,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
69,HII,186310,HUNTINGTON INGALLS IND INC,TMT,Kellye Walker,African American/Black,1,1,0,1,F,1,1,Yes,,Bermiss
70,HII,186310,HUNTINGTON INGALLS IND INC,TMT,Michael Smith,Caucasian/White,0,1,1,0,M,0,2,Yes,,Bermiss
71,INTU,27928,INTUIT INC,TMT,Brad Smith,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
