obs,tic,gvkey,conm_x,CrossVerified_ExecType,DirectorName,Ethnicity,Race(black),BE_fromBermissData,Actual_Bermiss_discrepancy,Minority,Gender,Female,Num_Black_TMT,Active2020,CEO_Appointment_date_within_2020,DirectorName_source
46,AIZ,157057,ASSURANT INC,CEO,Alan Colberg,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
47,T,9899,AT&T INC,CEO,John Stankey,Caucasian/White,0,1,1,0,M,0,2,Yes,Started in 7/1/2020,BoardEx
48,T,9899,AT&T INC,CEO,Randall Stephenson Jr,Caucasian/White,0,1,1,0,M,0,2,Yes,Retired in 6/30/2020,BoardEx
49,T,9899,AT&T INC,TMT,Xavier Williams,African American/Black,1,1,0,1,M,0,1,Yes,,Bermiss
50,ATO,4383,ATMOS ENERGY CORP,TMT,Kim Cocklin,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
51,ATO,4383,ATMOS ENERGY CORP,CEO,John Akers,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
52,ADSK,1878,AUTODESK INC,CEO,Doctor Andrew Anagnost,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
53,ADP,1891,AUTOMATIC DATA PROCESSING,CEO,Carlos Rodriguez,Hispanic/Latino,0,,0,1,M,0,0,Yes,,BoardEx
54,AZO,23809,AUTOZONE INC,CEO,Bill Rhodes III,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
55,AVB,29875,AVALONBAY COMMUNITIES INC,CEO,Tim Naughton,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
56,AVY,1913,AVERY DENNISON CORP,CEO,Mitch Butier,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
57,BKR,32106,BAKER HUGHES CO,CEO,Lorenzo Simonelli,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
58,BALL,1988,BALL CORP,CEO,John Hayes,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
59,BAC,7647,BANK OF AMERICA CORP,CEO,Brian Moynihan,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
60,BBWI,6733,BATH & BODY WORKS INC,CEO,Leslie Wexner,Caucasian/White,0,,0,0,M,0,0,No,,BoardEx
61,BAX,2086,BAXTER INTERNATIONAL INC,CEO,Joe Almeida,Hispanic/Latino,0,,0,1,M,0,0,Yes,,BoardEx
62,BSXGF,152558,BELO SUN MINING CORP (Verena Minerals Corp prior to 07/2010),CEO,Peter Tagliamonte,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
63,WRB,14822,BERKLEY (W R) CORP,CEO,Rob Berkley Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
64,WRB,14822,BERKLEY (W R) CORP,TMT,Wm Berkley Sr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
65,BRK.B,2176,BERKSHIRE HATHAWAY,TMT,Ajit Jain,Asian/Indian,0,,0,1,M,0,0,Yes,,BoardEx
66,BRK.B,2176,BERKSHIRE HATHAWAY,TMT,Charlie Munger,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
67,BRK.B,2176,BERKSHIRE HATHAWAY,TMT,Greg Abel,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
68,BRK.B,2176,BERKSHIRE HATHAWAY,CEO,Warren Buffett,Caucasian/White,0,,0,0,M,0,0,No,,BoardEx
69,BBY,2184,BEST BUY CO INC,CEO,Corie Barry,Caucasian/White,0,0,0,0,F,1,0,Yes,,BoardEx
70,BBY,2184,BEST BUY CO INC,TMT,Hubert Joly,Caucasian/White,0,0,0,0,M,0,0,Yes,,BoardEx
71,BIO,2220,BIO-RAD LABORATORIES INC,CEO,Norman Schwartz,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
72,BIIB,24468,BIOGEN INC,CEO,Michel Vounatsos,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
73,BLK,124434,BLACKROCK INC,CEO,Larry Fink,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
74,BA,2285,BOEING CO,TMT,James Bell,African American/Black,1,1,0,1,M,0,1,No,,Bermiss
75,BKNG,119314,BOOKING HOLDINGS INC,CEO,Glenn Fogel,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
76,BWA,28742,BORGWARNER INC,CEO,Frederic Lissalde,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
77,BXP,64925,BOSTON PROPERTIES INC,CEO,Owen Thomas,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
78,BSX,25279,BOSTON SCIENTIFIC CORP,TMT,Mark Eaton,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
79,BSX,25279,BOSTON SCIENTIFIC CORP,CEO,Mike Mahoney,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
80,BMY,2403,BRISTOL-MYERS SQUIBB CO,CEO,Doctor Giovanni Caforio,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
81,AVGO,180711,BROADCOM INC,CEO,Hock Tan,Asian,0,,0,1,M,0,0,Yes,,BoardEx
82,BR,176928,BROADRIDGE FINANCIAL SOLUTNS,TMT,Rich Daly,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
83,BF.B,2435,BROWN FORMAN CORP,CEO,Lawson Whiting,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
84,BG,144435,BUNGE LTD,CEO,Greg Heckman,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
85,CHRW,65609,C H ROBINSON WORLDWIDE INC,CEO,Bob Biesterfeld Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
86,CHRW,65609,C H ROBINSON WORLDWIDE INC,TMT,John Wiehoff,Caucasian/White,0,,0,0,M,0,0,No,,BoardEx
87,CMI,,C-COM SATELLITE SYSTEMS INC,CEO,Doctor Leslie Klein,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
88,CDNS,13421,CADENCE DESIGN SYSTEMS INC,CEO,Lip-Bu Tan,Asian,0,,0,1,M,0,0,Yes,,BoardEx
89,CPB,2663,CAMPBELL SOUP CO,CEO,Mark Clouse,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
90,CF,????,CANACCORD GENUITY GROUP INC (Canaccord Financial Inc prior to 10/2013),CEO,Dan Daviau,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
91,BK,,CANADIAN BANC CORP,CEO,Stephen Finch,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
92,COF,30990,CAPITAL ONE FINANCIAL CORP,CEO,Rich Fairbank,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
93,CAH,2751,CARDINAL HEALTH INC,CEO,Mike Kaufmann,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
94,KMX,64410,CARMAX INC,CEO,Bill Nash,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
95,CCL,13498,CARNIVAL CORPORATION & PLC,CEO,Arnold Donald,African American/Black,1,1,0,1,M,0,1,Yes,,Bermiss
96,CCL,13498,CARNIVAL CORPORATION & PLC,TMT,Micky Arison,Caucasian/White,0,1,1,0,M,0,1,Yes,,BoardEx
97,CTLT,20228,CATALENT INC,CEO,John Chiminski,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
98,CAT,2817,CATERPILLAR INC,CEO,Jim Umpleby III,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
99,CBOE,184500,CBOE GLOBAL MARKETS INC,CEO,Ed Tilly,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
100,CBRE,260774,CBRE GROUP INC,CEO,Bob Sulentic,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
101,PARA,13714,CBS Television Distribution,CEO,Roger King,Caucasian/White,0,0,0,0,M,0,0,Yes,,Bermiss
102,CDW,28320,CDW CORP,CEO,Chris Leahy,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
103,CNC,145552,CENTENE CORP,CEO,Michael Neidorff,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
104,CNP,5742,CENTERPOINT ENERGY INC,TMT,Milton Carroll,African American/Black,1,,0,1,M,0,1,Yes,,BoardEx
105,CERN,12850,CERNER CORP,CEO,D Shafer,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
106,CF,163946,CF INDUSTRIES HOLDINGS INC,TMT,David Kassie,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
107,CF,163946,CF INDUSTRIES HOLDINGS INC,CEO,Tony Will,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
108,CHTR,126136,CHARTER COMMUNICATIONS INC,CEO,Tom Rutledge,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
109,CVX,2991,CHEVRON CORP,CEO,Mike Wirth,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
110,CMG,165914,CHIPOTLE MEXICAN GRILL INC,CEO,Ryan Schneider,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
111,CHD,3026,CHURCH & DWIGHT INC,CEO,Matthew Farrell,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
112,CI,2547,CIGNA CORP,CEO,David Cordani,Caucasian/White,0,1,1,0,M,0,2,Yes,,BoardEx
113,CI,2547,CIGNA CORP,TMT,Michael Triplett,Caucasian/White,0,1,1,0,M,0,2,Yes,,Bermiss
114,CI,2547,CIGNA CORP,TMT,Nicole Jones,African American/Black,1,1,0,1,F,1,1,Yes,,Bermiss
115,CINF,14824,CINCINNATI FINANCIAL CORP,CEO,Steve Johnston,Caucasian/White,0,,0,0,M,0,0,No,,BoardEx
116,CTAS,3062,CINTAS CORP,TMT,Phillip Holloman,African American/Black,1,1,0,1,M,0,1,No,,Bermiss
117,CTAS,3062,CINTAS CORP,CEO,Scott Farmer,Caucasian/White,0,1,1,0,M,0,1,Yes,,BoardEx
118,CSCO,20779,CISCO SYSTEMS INC,CEO,Chuck Robbins,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
119,C,3243,CITIGROUP INC,TMT,Mark Mason,African American/Black,1,1,0,1,M,0,1,Yes,,Bermiss
120,C,3243,CITIGROUP INC,CEO,Mike Corbat,Caucasian/White,0,1,1,0,M,0,1,Yes,,BoardEx
121,CFG,21825,CITIZENS FINANCIAL GROUP INC,CEO,Bruce van Saun,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
122,CTXS,61676,CITRIX SYSTEMS INC,CEO,David Henshall,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
123,CSXh,67890,CLEAN SEED CAPITAL GROUP LTD,CEO,Graeme Lempriere,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
124,CLX,3121,CLOROX CO/DE,CEO,Benno Dorer,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
125,CME,149070,CME GROUP INC,CEO,The Hon. Terry Duffy,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
126,CMS,3439,CMS ENERGY CORP,CEO,Patti Poppe,Caucasian/White,0,1,1,0,F,1,1,Yes,Retired in 12/1/2020,BoardEx
127,CMS,3439,CMS ENERGY CORP,TMT,Rejji Hayes,African American/Black,1,1,0,1,M,0,1,Yes,,Bermiss
128,KO,3144,COCA-COLA CO,TMT,Alexander Cummings,African American/Black,1,1,0,1,M,0,3,No,,Bermiss
129,KO,3144,COCA-COLA CO,CEO,James Quincey,Caucasian/White,0,1,1,0,M,0,3,No,,BoardEx
130,KO,3144,COCA-COLA CO,TMT,Kathy Waller,African American/Black,1,1,0,1,F,1,3,No,,Bermiss
131,KO,3144,COCA-COLA CO,TMT,Vicki Palmer,African American/Black,1,1,0,1,F,1,3,No,,Bermiss
132,CTSH,111864,COGNIZANT TECH SOLUTIONS,CEO,Brian Humphries,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
133,CL,3170,COLGATE-PALMOLIVE CO,CEO,Charles Bachtell,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
134,CMCSA,3226,COMCAST CORP,CEO,Brian Roberts,Caucasian/White,0,1,1,0,M,0,1,Yes,,BoardEx
135,CMCSA,3226,COMCAST CORP,TMT,Kimberley Harris,African American/Black,1,1,0,1,F,1,1,Yes,,Bermiss
136,CAG,3362,CONAGRA BRANDS INC,CEO,Sean Connolly,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
137,COP,8549,CONOCOPHILLIPS,CEO,Ryan Lance,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
138,ED,3413,CONSOLIDATED EDISON INC,CEO,John McAvoy,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
139,STZ,2710,CONSTELLATION BRANDS,CEO,Bill Newlands Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
140,STZ,2710,CONSTELLATION BRANDS,TMT,Doctor Richard Sands,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
141,STZ,2710,CONSTELLATION BRANDS,TMT,Rob Sands,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
142,COO,3504,COOPER COS INC (THE),CEO,Al White III,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
143,CPRT,29901,COPART INC,CEO,Jay Adair,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
144,CPRT,29901,COPART INC,TMT,Willis Johnson,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
145,GLW,3532,CORNING INC,TMT,Lawrence McRae,African American/Black,1,1,0,1,M,0,1,Yes,,Bermiss
146,CTVA,35168,CORTEVA INC,CEO,Jim Collins Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
147,CSGP,112111,COSTAR GROUP INC,CEO,Andy Florance,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
148,COST,29028,COSTCO WHOLESALE CORP,CEO,W Jelinek,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
149,CTRA,20548,COTERRA ENERGY INC,CEO,Dan Dinges,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
150,CCI,113490,CROWN CASTLE INC,CEO,Jay Brown,African American/Black,1,,1,1,M,0,1,Yes,,BoardEx
151,CSX,23456,CSX CORP,CEO,Jim Foote,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
152,CMI,3650,CUMMINS INC,CEO,Tom Linebarger,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
153,CVS,7241,CVS HEALTH CORP,CEO,Larry Merlo,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
154,DHI,25340,D R HORTON INC,TMT,Donald Horton,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
155,DHR,3735,DANAHER CORP,TMT,Steven Rales,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
156,DHR,3735,DANAHER CORP,CEO,Tom Joyce Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
157,DRI,31846,DARDEN RESTAURANTS INC,CEO,Gene Lee Jr,Caucasian/White,0,1,1,0,M,0,1,Yes,,BoardEx
158,DVA,61483,DAVITA INC,CEO,Javier Rodriguez,Hispanic/Latino,0,,0,1,M,0,0,Yes,,BoardEx
159,DVA,61483,DAVITA INC,TMT,Kent Thiry,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
160,DE,3835,DECISIVE DIVIDEND CORP,CEO,James Paterson,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
161,DCO,6255,DEERE & CO,CEO,John May,Caucasian/White,0,,0,0,M,0,0,No,,BoardEx
162,DAL,3851,DELTA AIR LINES INC,CEO,Ed Bastian,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
163,XRAY,13700,DENTSPLY SIRONA INC,CEO,Don Casey Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
164,DVN,14934,DEVON ENERGY CORP,CEO,Dave Hager,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
165,DXCM,162887,DEXCOM INC,CEO,Kevin Sayer,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
166,FANG,170750,DIAMONDBACK ENERGY INC,CEO,Travis Stice,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
167,DLR,160991,DIGITAL REALTY TRUST INC,CEO,Bill Stein,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
168,DFS,177376,DISCOVER FINANCIAL SVCS,CEO,Roger Hochschild,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
