obs,tic,conm_x,gvkey,CrossVerified_ExecType,DirectorName,Ethnicity,Race(black),BE_fromBermissData,ceo_black_discrepancy,Minority,Gender,Female,Num_Black_TMT,TMT_Active_in_2020 (Manual Check),BlackCEO_Appointment_date (within the timeframe),DirectorName_source
5,T,AT&T INC,9899,TMT,Xavier Williams,African American/Black,1,1,0,1,M,0,2,Yes,,2Bermiss
,T,AT&T INC,9899,CEO,John Stankey,Caucasian/White,0,1,1,0,M,0,2,Yes,Started in 7/1/2020,3BoardEx
104,T,AT&T INC,9899,CEO,Randall Stephenson Jr,Caucasian/White,0,1,1,0,M,0,2,Yes,Retired in 6/30/2020,3BoardEx
210,ATO,ATMOS ENERGY CORP,4383,CEO,John Akers,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
211,ATO,ATMOS ENERGY CORP,4383,TMT,Kim Cocklin,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
212,ADSK,AUTODESK INC,1878,CEO,Doctor Andrew Anagnost,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
599,ADP,AUTOMATIC DATA PROCESSING,1891,CEO,Carlos Rodriguez,Hispanic/Latino,0,,0,1,M,0,0,Yes,,3BoardEx
213,AZO,AUTOZONE INC,23809,CEO,Bill Rhodes III,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
214,AVB,AVALONBAY COMMUNITIES INC,29875,CEO,Tim Naughton,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
215,AVY,AVERY DENNISON CORP,1913,CEO,Mitch Butier,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
216,BKR,BAKER HUGHES CO,32106,CEO,Lorenzo Simonelli,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
217,BALL,BALL CORP,1988,CEO,John Hayes,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
218,BAC,BANK OF AMERICA CORP,7647,CEO,Brian Moynihan,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
221,BBWI,BATH & BODY WORKS INC,6733,CEO,Leslie Wexner,Caucasian/White,0,,0,0,M,0,0,No,,3BoardEx
600,BAX,BAXTER INTERNATIONAL INC,2086,CEO,Joe Almeida,Hispanic/Latino,0,,0,1,M,0,0,Yes,,3BoardEx
222,WRB,BERKLEY (W R) CORP,14822,CEO,Rob Berkley Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
223,WRB,BERKLEY (W R) CORP,14822,TMT,Wm Berkley Sr,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
226,BRK.B,BERKSHIRE HATHAWAY,2176,CEO,Warren Buffett,Caucasian/White,0,,0,0,M,0,0,No,,3BoardEx
83,BRK.B,BERKSHIRE HATHAWAY,2176,TMT,Ajit Jain,Asian/Indian,0,,0,1,M,0,0,Yes,,3BoardEx
224,BRK.B,BERKSHIRE HATHAWAY,2176,TMT,Charlie Munger,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
