obs,tic,conm_x,gvkey,CrossVerified_ExecType,DirectorName,Ethnicity,Race(black),BE_fromBermissData,ceo_black_discrepancy,Minority,Gender,Female,Num_Black_TMT,TMT_Active_in_2020 (Manual Check),BlackCEO_Appointment_date (within the timeframe),DirectorName_source
317,EOG,EOG RESOURCES INC,16478,CEO,Bill Thomas,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
318,EOG,EOG RESOURCES INC,16478,CEO,Gil Holzman,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
319,EPAM,EPAM SYSTEMS INC,187697,CEO,Arkadiy Dobkin,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
320,EFX,EQUIFAX INC,4423,CEO,Marc Rossiter,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
321,EFX,EQUIFAX INC,4423,CEO,Mark Begor,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
322,EQIX,EQUINIX INC,138743,CEO,Charles Meyers,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
323,EQIX,EQUINIX INC,138743,TMT,Peter Van Camp,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
324,EQR,EQUITY RESIDENTIAL,28733,CEO,Mark Parrell,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
325,ESS,ESSEX PROPERTY TRUST,30293,CEO,Mike Schall,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
131,EL,ESTEE LAUDER COMPANIES INC,61567,CEO,Fabrizio Freda,Caucasian/White,0,1,1,0,M,0,2,Yes,,3BoardEx
25,EL,ESTEE LAUDER COMPANIES INC,61567,TMT,Tracey Travis,African American/Black,1,1,0,1,F,1,2,Yes,,2Bermiss
132,EL,ESTEE LAUDER COMPANIES INC,61567,TMT,Leonard Lauder,Caucasian/White,0,1,1,0,M,0,2,Yes,,3BoardEx
133,EL,ESTEE LAUDER COMPANIES INC,61567,TMT,The Hon. Ronald Lauder,Caucasian/White,0,1,1,0,M,0,2,Yes,,3BoardEx
134,EL,ESTEE LAUDER COMPANIES INC,61567,TMT,William Lauder,Caucasian/White,0,1,1,0,M,0,2,Yes,,3BoardEx
326,ETSY,ETSY INC,23238,CEO,Josh Silverman,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
327,EVRG,EVERGY INC,6338,CEO,Terry Bassham,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
328,ES,EVERSOURCE ENERGY,7970,CEO,Jim Judge,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
135,EXC,EXELON CORP,8539,CEO,Chris Crane,Caucasian/White,0,1,1,0,M,0,1,Yes,,3BoardEx
26,EXC,EXELON CORP,8539,TMT,Frank Clark,African American/Black,1,1,0,1,M,0,1,No,,2Bermiss
329,EXPD,EXPEDITORS INTL WASH INC,4494,CEO,Jeff Musser,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
330,EXR,EXTRA SPACE STORAGE INC,160479,CEO,Joe Margolis,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
331,XOM,EXXON MOBIL CORP,4503,CEO,Darren Woods,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
13,FFIV,F5 INC,121077,CEO,Francois Locoh-Donou,African American/Black,1,1,0,1,M,0,1,Yes,,3BoardEx
332,FAST,FASTENAL CO,14225,CEO,Dan Florness,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
333,FRT,FEDERAL REALTY INVESTMENT TR,4605,CEO,Don Wood,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
334,FDX,FEDEX CORP,4598,CEO,Fred Smith,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
335,FIS,FIDELITY NATIONAL INFO SVCS,165993,CEO,Gary Norcross,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
98,FITB,FIFTH THIRD BANCORP,4640,CEO,Greg Carmichael,Caucasian/White,0,0,0,0,M,0,0,Yes,,2Bermiss
85,FE,FIRSTENERGY CORP,8099,CEO,Gurm Sangha,Asian/Indian,0,,0,1,M,0,0,Yes,,3BoardEx
336,FE,FIRSTENERGY CORP,8099,CEO,Chuck Jones Jr,Caucasian/White,0,,0,0,M,0,0,No,,3BoardEx
337,FLT,DRONE DELIVERY CANADA CORP (Asher Resources Corp prior to 06/2016),184700,CEO,Mike Zahra,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
338,FLT,FLEETCOR TECHNOLOGIES INC,184700,CEO,Ron Clarke,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
339,FLIR,FLIR SYSTEMS INC,28477,CEO,Jim Cannon,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
340,FLS,FLOWSERVE CORP,4108,CEO,Robert Rowe,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
341,FMC,FMC CORP,4510,CEO,Doctor Pierre Brondeau,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
343,F,FORD MOTOR CO,4839,CEO,Jim Hackett,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
344,F,FIORE GOLD LTD (Fiore Exploration Ltd prior to 09/2017) (De-listed 01/2022),4839,CEO,Tim Warman,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
342,F,FORD MOTOR CO,4839,TMT,Bill Ford Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
75,FTNT,FORTINET INC,183377,CEO,Ken Xie,Asian/Chinese,0,,0,1,M,0,0,Yes,,3BoardEx
345,FTV,FORTIVE CORP,26590,CEO,Jim Lico,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
347,FOXA,FOX CORP,34636,CEO,Lachlan Murdoch,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
346,FOXA,FOX CORP,34636,TMT,Keith Murdoch,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
348,BEN,FRANKLIN RESOURCES INC,4885,TMT,Rupert Johnson Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
349,FCX,FREEPORT-MCMORAN INC,14590,CEO,Richard Adkerson,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
350,IT,GARTNER INC,12441,CEO,Gene Hall,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
351,GD,GENERAL DYNAMICS CORP,5046,CEO,Phebe Novakovic,Caucasian/White,0,,0,0,F,1,0,Yes,,3BoardEx
352,GE,GENERAL ELECTRIC CO,5047,CEO,Larry Culp Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
136,GIS,GENERAL MILLS INC,5071,CEO,Jeff Harmening,Caucasian/White,0,0,0,0,M,0,1,Yes,,3BoardEx
27,GIS,GENERAL MILLS INC,5071,TMT,Marc Belton,African American/Black,1,0,1,1,M,0,1,No,,2Bermiss
137,GM,GENERAL MOTORS CO,5073,CEO,Mary Barra,Caucasian/White,0,1,1,0,F,1,1,Yes,,3BoardEx
28,GM,GENERAL MOTORS CO,5073,TMT,Alicia Boler Davis,African American/Black,1,1,0,1,F,1,1,Yes,,2Bermiss
353,GPC,GENUINE PARTS CO,5125,CEO,Paul Donahue,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
100,GILD,GILEAD SCIENCES INC,24856,CEO,Daniel O'Day,Caucasian/White,0,0,0,0,M,0,1,Yes,,2Bermiss
29,GILD,GILEAD SCIENCES INC,24856,TMT,Robin Washington,African American/Black,1,0,1,1,F,1,1,No,,2Bermiss
354,GPN,GLOBAL PAYMENTS INC,141913,CEO,Jeff Sloan,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
355,GL,GLOBE LIFE INC,10614,CEO (Co-CEO),Gary Coleman,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
356,GL,GLOBE LIFE INC,10614,CEO (Co-CEO),Larry Hutchison,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
357,GS,GOLDMAN SACHS GROUP INC,114628,CEO,David Solomon,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
358,GWW,GRAINGER (W W) INC,5256,CEO,DG Macpherson,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
359,HAL,HALLIBURTON CO,5439,CEO,Jeff Miller,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
20,HBI,HANESBRANDS INC,175319,CEO,Gerald Evans Jr,African American/Black,1,1,0,1,M,0,1,Yes,Effective in 8/3/2020,3BoardEx
31,HBI,HANESBRANDS INC,175319,TMT,Joia Johnson,African American/Black,1,1,0,1,F,1,1,Yes,,2Bermiss
360,HIG,HARTFORD FINANCIAL SERVICES,61739,CEO,Chris Swift,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
361,HAS,HASBRO INC,5518,CEO,Brian Goldner,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
362,HCA,HCA HEALTHCARE INC,22260,CEO,Sam Hazen,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
363,JKHY,HENRY (JACK) & ASSOCIATES,11811,CEO,Dave Foss,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
365,HSIC,HENRY SCHEIN INC,61494,CEO,Stan Bergman,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
364,HSIC,HENRY SCHEIN INC,61494,TMT,Jim Breslawski,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
366,HSY,HERSHEY CO,5597,CEO,Michele Buck,Caucasian/White,0,,0,0,F,1,0,Yes,,3BoardEx
367,HES,HESS CORP,1380,CEO,John Hess,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
368,HPE,HEWLETT PACKARD ENTERPRISE,26156,CEO,Antonio Neri,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
369,HLT,HILTON WORLDWIDE HOLDINGS,5643,CEO,Chris Nassetta,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
370,HLT,HILTON WORLDWIDE HOLDINGS,5643,TMT,Gregory Dillon,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
371,HOLX,HOLOGIC INC,20904,CEO,Steve MacMillan,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
138,HD,HOME DEPOT INC,5680,CEO,Craig Menear,Caucasian/White,0,1,1,0,M,0,3,Yes,,3BoardEx
32,HD,HOME DEPOT INC,5680,TMT,Ann-Marie Campbell,African American/Black,1,1,0,1,F,1,3,Yes,,2Bermiss
33,HD,HOME DEPOT INC,5680,TMT,Marvin Ellison,African American/Black,1,1,0,1,M,0,3,Yes,,2Bermiss
34,HD,HOME DEPOT INC,5680,TMT,Teresa Wynn Roseborough,African American/Black,1,1,0,1,F,1,3,Yes,,2Bermiss
372,HON,HONEYWELL INTERNATIONAL INC,1300,CEO,Darius Adamczyk,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
373,HRL,HORMEL FOODS CORP,5709,CEO,Jim Snee,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
375,HST,HOST HOTELS & RESORTS INC,7063,CEO,Jim Risoleo,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
374,HST,HOST HOTELS & RESORTS INC,7063,TMT,Dick Marriott,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
376,HPQ,HPQ SILICON INC (HPQ Silicon Resources Inc prior to 07/2022),,CEO,Bernard Tourillon,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
603,HPQ,HP INC,,CEO,Enrique Lores,Hispanic/Latino,0,,0,1,M,0,0,Yes,,3BoardEx
377,HUM,HUMANA INC,27914,CEO,Bruce Broussard,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
379,JBHT,HUNT (JB) TRANSPRT SVCS INC,5783,CEO,John Roberts III,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
378,JBHT,HUNT (JB) TRANSPRT SVCS INC,5783,TMT,James Thompson,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
380,HBAN,HUNTINGTON BANCSHARES,5786,CEO,Steve Steinour,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
139,HII,HUNTINGTON INGALLS IND INC,186310,CEO,Mike Petters,Caucasian/White,0,1,1,0,M,0,2,Yes,,3BoardEx
35,HII,HUNTINGTON INGALLS IND INC,186310,TMT,Kellye Walker,African American/Black,1,1,0,1,F,1,2,Yes,,2Bermiss
145,HII,HUNTINGTON INGALLS IND INC,186310,TMT,Michael Smith,Caucasian/White,0,1,1,0,M,0,2,Yes,,2Bermiss
381,IDXX,IDEXX LABS INC,24197,CEO,Jonathan Mazelsky,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
382,ITW,ILLINOIS TOOL WORKS,5878,CEO,Ernest Santi,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
86,ILMN,ILLUMINA INC,138205,CEO,Francis DeSouza,Asian/Indian,0,,0,1,M,0,0,Yes,,3BoardEx
383,INCY,INCYTE CORP,29127,CEO,Herve Hoppenot,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
384,IR,INGERSOLL RAND INC,30098,CEO,Mike Lamach,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
604,IR,INGERSOLL RAND INC,30098,CEO,Vicente Reynal,Hispanic/Latino,0,,0,1,M,0,0,Yes,,3BoardEx
385,PODD,INSULET CORP,177227,CEO,Shacey Petrovic,Caucasian/White,0,,0,0,F,1,0,Yes,,3BoardEx
386,INTC,INTEL CORP,6008,CEO,Bob Swan,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
387,ICE,INTERCONTINENTAL EXCHANGE,163610,CEO,Jeff Sprecher,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
388,ICE,INTERCONTINENTAL EXCHANGE,163610,CEO,Joey St-Aubin,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
389,IPG,INTERPUBLIC GROUP OF COS,6136,CEO,Michael Roth,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
390,IFF,INTL FLAVORS & FRAGRANCES,6078,CEO,Andreas Fibig,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
391,IP,INTL PAPER CO,6104,CEO,Alen Silverrstieen,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
392,IP,INTL PAPER CO,6104,CEO,Mark Sutton,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
609,INTU,INTUIT INC,27928,CEO,Sasan Goodarzi,Middle Eastern,0,,0,1,M,0,0,Yes,,3BoardEx
393,INTU,INTUIT INC,27928,TMT,Brad Smith,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
394,ISRG,INTUITIVE SURGICAL INC,136725,CEO,Doctor Gary Guthart,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
395,IVZ,INVESCO LTD,29804,CEO,Marty Flanagan,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
396,INVH,INVITATION HOMES INC,30004,CEO,Dallas Tanner,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
397,IPGP,IPG PHOTONICS CORP,175955,CEO,Doctor Valentin Gapontsev,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
398,IQV,IQVIA HOLDINGS INC,17928,CEO,Ari Bousbib,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
399,IRM,IRON MOUNTAIN INC,62374,CEO,Bill Meaney,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
400,J,JACOBS ENGINEERING GROUP INC,6216,CEO,Steve Demetriou,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
401,JNJ,JOHNSON & JOHNSON,6266,CEO,Alex Gorsky,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
402,JPM,JPMORGAN CHASE & CO,2968,CEO,Jamie Dimon,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
610,JNPR,JUNIPER NETWORKS INC,121718,CEO,Rami Rahim,Middle Eastern,0,,0,1,M,0,0,Yes,,3BoardEx
403,KSU,KANSAS CITY SOUTHERN,6335,CEO,Pat Ottensmeyer,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
404,K,KELLOGG CO,6375,CEO,J Rollinson,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
405,K,KELLOGG CO,6375,CEO,Steve Cahillane,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
406,KDP,KEURIG DR PEPPER INC,28877,CEO,Bob Gamgort Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
140,KEY,KEYCORP,9783,CEO,Beth Mooney,Caucasian/White,0,1,1,0,F,1,2,Yes,,3BoardEx
37,KEY,KEYCORP,9783,TMT,Paul Harris,African American/Black,1,1,0,1,M,0,2,Yes,,2Bermiss
146,KEY,KEYCORP,9783,TMT,Jeffrey Weaver,Caucasian/White,0,1,1,0,M,0,2,Yes,,2Bermiss
407,KEYS,KEYSIGHT TECHNOLOGIES INC,20232,CEO,Ron Nersesian,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
408,KIM,KIMCO REALTY CORP,24731,CEO,Conor Flynn,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
409,KIM,KIMCO REALTY CORP,24731,TMT,Milton Cooper,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
411,KMI,KINDER MORGAN INC,6310,CEO,Steve Kean,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
410,KMI,KINDER MORGAN INC,6310,TMT,Rich Kinder,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
412,KLAC,KLA CORP,6304,CEO,Rick Wallace,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
413,KR,KROGER CO,6502,CEO,William McMullen,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
414,LHX,L3HARRIS TECHNOLOGIES INC,5492,CEO,Bill Brown,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
415,LHX,L3HARRIS TECHNOLOGIES INC,5492,TMT,Chris Kubasik,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
416,LH,LABORATORY CP OF AMER HLDGS,14960,CEO,Adam Schechter,Caucasian/White,0,,0,0,M,0,0,No,,3BoardEx
417,LH,LABORATORY CP OF AMER HLDGS,14960,TMT,Dave King,Caucasian/White,0,,0,0,M,0,0,No,,3BoardEx
418,LRCX,LAM RESEARCH CORP,6565,CEO,Tim Archer,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
419,LW,LAMB WESTON HOLDINGS INC,28790,CEO,Tom Werner,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
420,LVS,LAS VEGAS SANDS CORP,161844,CEO,Sheldon Adelson,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
421,LDOS,LEIDOS HOLDINGS INC,165123,CEO,Roger Krone,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
422,LEN,LENNAR CORP,6669,CEO,Rick Beckwitt,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
423,LEN,LENNAR CORP,6669,TMT,Stuart Miller,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
141,LLY,LILLY (ELI) & CO,6730,CEO,Dave Ricks,Caucasian/White,0,1,1,0,M,0,3,Yes,,3BoardEx
38,LLY,LILLY (ELI) & CO,6730,CEO,Derica Rice,African American/Black,1,1,0,1,M,0,3,Yes,,2Bermiss
424,LNC,LINCOLN NATIONAL CORP,6742,CEO,Dennis Glass,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
425,LYV,LIVE NATION ENTERTAINMENT,165746,CEO,Michael Rapino,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
427,LKQ,LKQ CORP,155394,CEO,Nick Zarcone,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
426,LKQ,LKQ CORP,155394,TMT,Joe Holsten,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
142,LMT,LOCKHEED MARTIN CORP,6774,CEO,Marillyn Hewson,Caucasian/White,0,1,1,0,F,1,1,Yes,,3BoardEx
39,LMT,LOCKHEED MARTIN CORP,6774,TMT,Linda Gooden,African American/Black,1,1,0,1,F,1,1,No,,2Bermiss
430,L,LOEWS CORP,6781,CEO,Jim Tisch,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
428,L,LOEWS CORP,6781,TMT,Andrew Tisch,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
429,L,LOEWS CORP,6781,TMT,Galen Weston Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
431,L,LOEWS CORP,6781,TMT,Jon Tisch,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
432,LUMN,LUMEN TECHNOLOGIES INC,2884,CEO,Jeff Storey,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
87,LYB,LYONDELLBASELL INDUSTRIES NV,294524,CEO,Bob Patel,Asian/Indian,0,,0,1,M,0,0,Yes,,3BoardEx
30,MTB,M & T BANK CORP,4699,CEO,Rene Jones,African American/Black,1,1,0,1,M,0,1,Yes,,3BoardEx
433,MRO,MARATHON OIL CORP,7017,CEO,Lee Tillman,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
434,MPC,MARATHON PETROLEUM CORP,186989,CEO,Marvin Haasen,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
435,MKTX,MARKETAXESS HOLDINGS INC,158742,CEO,Rick McVey,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
436,MAR,MARRIOTT INTL INC,28930,CEO,Arne Sorenson,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
437,MAR,MARRIOTT INTL INC,28930,TMT,Bill Marriott Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
103,MMC,MARSH & MCLENNAN COS,7065,CEO,Dean Klisura,Caucasian/White,0,0,0,0,M,0,0,Yes,,2Bermiss
143,MMC,MARSH & MCLENNAN COS,7065,CEO,Dan Glaser,Caucasian/White,0,0,0,0,M,0,0,Yes,,3BoardEx
438,MLM,MARTIN MARIETTA MATERIALS,29733,CEO,Ward Nye,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
439,MAS,MASCO CORP,7085,CEO,Keith Allman,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
441,MTCH,MATCH GROUP INC,26061,CEO,Joey Levin,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
440,MTCH,MATCH GROUP INC,26061,TMT,Barry Diller,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
442,MTCH,MATCH GROUP INC,26061,TMT,Victor Kaufman,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
443,MXIM,MAXIM INTEGRATED PRODUCTS,14256,CEO,Tunc Doluca,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
444,MKC,MCCORMICK & CO INC,7146,CEO,Lawrence Kurzius,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
144,MCD,MCDONALD'S CORP,7154,CEO,Chris Kempczinski,Caucasian/White,0,1,1,0,M,0,2,Yes,,3BoardEx
40,MCD,MCDONALD'S CORP,7154,CEO,Donald Thompson,African American/Black,1,1,0,1,M,0,2,Yes,,2Bermiss
41,MCD,MCDONALD'S CORP,7154,TMT,Raymond Mines,African American/Black,1,1,0,1,M,0,2,No,,2Bermiss
445,MCK,MCKESSON CORP,7171,CEO,Doctor Brian Tyler,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
36,MRK,MERCK & CO,7257,CEO,Ken Frazier,African American/Black,1,1,0,1,F,1,3,Yes,,3BoardEx
42,MRK,MERCK & CO,7257,TMT,Bridgette Heller,African American/Black,1,1,0,1,F,1,3,No,,2Bermiss
43,MRK,MERCK & CO,7257,TMT,Willie Deese,African American/Black,1,1,0,1,M,0,3,No,,2Bermiss
446,,META GROWTH CORP (National Access Cannabis Corp prior to 03/2020) (De-listed 11/2020),170617,CEO,Mark Goliger,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
447,META,META PLATFORMS INC,170617,CEO,Mark Zuckerberg,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
611,MET,METLIFE INC,133768,CEO,Michel Khalaf,Middle Eastern,0,,0,1,M,0,0,Yes,,3BoardEx
105,MTD,METTLER-TOLEDO INTL INC,65772,CEO,Olivier Filliol,Caucasian/White,0,0,0,0,M,0,0,Yes,,2Bermiss
88,MCHP,MICROCHIP TECHNOLOGY INC,27965,CEO,Steve Sanghi,Asian/Indian,0,,0,1,M,0,0,Yes,,3BoardEx
89,MU,MICRON TECHNOLOGY INC,7343,CEO,Sanjay Mehrotra,Asian/Indian,0,,0,1,M,0,0,Yes,,3BoardEx
76,MU,MICRON TECHNOLOGY INC,7343,TMT,K Hsu,Asian/Chinese,0,,0,1,M,0,0,Yes,,3BoardEx
90,MSFT,MICROSOFT CORP,12141,CEO,Satya Nadella,Asian/Indian,0,,0,1,M,0,0,Yes,,3BoardEx
448,MAA,MID-AMERICA APT CMNTYS INC,29649,CEO,H Bolton Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
71,MGHCF,MINCO CAPITAL CORP,7435,CEO,Doctor Ken Cai,Asian,0,,0,1,M,0,0,Yes,,3BoardEx
449,MRNA,MODERNA INC,34410,CEO,Stephane Bancel,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
450,MHK,MOHAWK INDUSTRIES INC,25119,CEO,Jeff Lorberbaum,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
451,TAP,MOLSON COORS BEVERAGE CO,3505,CEO,Gavin Hattersley,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
147,MDLZ,MONDELEZ INTERNATIONAL INC,142953,CEO,Doctor Dirk van de Put,Caucasian/White,0,1,1,0,M,0,1,Yes,,3BoardEx
153,MDLZ,MONDELEZ INTERNATIONAL INC,142953,TMT,Mary Beth West,Caucasian/White,0,1,1,0,F,1,1,No,,2Bermiss
453,MNST,MONSTER BEVERAGE CORP,24316,CEO,Rodney Sacks,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
452,MNST,MONSTER BEVERAGE CORP,24316,TMT,Hilton Schlosberg,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
454,MCO,MOODY'S CORP,139665,CEO,Raymond McDaniel Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
455,MS,MORGAN STANLEY,12124,CEO,James Gorman,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
456,MOS,MOSAIC CO,162129,CEO,Joc O'Rourke,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
457,MSI,MOTOROLA SOLUTIONS INC,7585,CEO,Greg Brown,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
458,LWRK,LIFEWORKS INC (Morneau Shepell Inc prior to 05/2021) (De-listed 09/2022),7585,CEO,Stephen Liptrap,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
605,MSCI,MSCI INC,178507,CEO,Henry Fernandez,Hispanic/Latino,0,,0,1,M,0,0,Yes,,3BoardEx
459,NDAQ,NASDAQ INC,149337,CEO,Adena Friedman,Caucasian/White,0,,0,0,F,1,0,Yes,,3BoardEx
91,NTAP,NETAPP INC,61591,CEO,George Kurian,Asian/Indian,0,,0,1,M,0,0,Yes,,3BoardEx
