obs,tic,conm_x,gvkey,CrossVerified_ExecType,new_director_name,Ethnicity,Race(black),Minority,Gender,Female,Num_Black_TMT,TMT_Active_in_2020 (Manual Check),BlackCEO_Appointment_date (within the timeframe),new_director_source
215,AJG,ARTHUR J GALLAGHER & CO,4973,CEO,Pat Gallagher Jr,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
216,AIZ,ASSURANT INC,157057,CEO,Alan Colberg,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
217,ATO,ATMOS ENERGY CORP,4383,CEO,John Akers,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
218,ATO,ATMOS ENERGY CORP,4383,TMT,Kim Cocklin,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
219,ADSK,AUTODESK INC,1878,CEO,Doctor Andrew Anagnost,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
220,AZO,AUTOZONE INC,23809,CEO,Bill Rhodes III,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
221,AVB,AVALONBAY COMMUNITIES INC,29875,CEO,Tim Naughton,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
222,AVY,AVERY DENNISON CORP,1913,CEO,Mitch Butier,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
223,BKR,BAKER HUGHES CO,32106,CEO,Lorenzo Simonelli,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
224,BALL,BALL CORP,1988,CEO,John Hayes,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
225,BAC,BANK OF AMERICA CORP,7647,CEO,Brian Moynihan,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
226,BAC,BANK OF AMERICA CORP,7647,CEO,Hans Vestberg,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
227,BK,BANK OF NEW YORK MELLON CORP,2019,CEO,Steve Finch,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
228,BBWI,BATH & BODY WORKS INC,6733,CEO,Leslie Wexner,Caucasian/White,0,0,M,0,0,No,,3BoardEx
229,WRB,BERKLEY (W R) CORP,14822,CEO,Rob Berkley Jr,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
230,WRB,BERKLEY (W R) CORP,14822,TMT,Wm Berkley Sr,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
231,BRK.B,BERKSHIRE HATHAWAY,2176,TMT,Charlie Munger,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
232,BRK.B,BERKSHIRE HATHAWAY,2176,TMT,Greg Abel,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
233,BRK.B,BERKSHIRE HATHAWAY,2176,CEO,Warren Buffett,Caucasian/White,0,0,M,0,0,No,,3BoardEx
234,BIO,BIO-RAD LABORATORIES INC,2220,CEO,Norman Schwartz,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
235,BIIB,BIOGEN INC,24468,CEO,Michel Vounatsos,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
236,BLK,BLACKROCK INC,124434,CEO,Larry Fink,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
237,BKNG,BOOKING HOLDINGS INC,119314,CEO,Glenn Fogel,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
238,BWA,BORGWARNER INC,28742,CEO,Frederic Lissalde,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
239,BXP,BOSTON PROPERTIES INC,64925,CEO,Owen Thomas,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
240,BSX,BOSTON SCIENTIFIC CORP,25279,TMT,Mark Eaton,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
241,BSX,BOSTON SCIENTIFIC CORP,25279,CEO,Mike Mahoney,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
242,BSX,BOSTON SCIENTIFIC CORP,25279,CEO,Peter Tagliamonte,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
243,BMY,BRISTOL-MYERS SQUIBB CO,2403,CEO,Doctor Giovanni Caforio,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
244,BR,BROADRIDGE FINANCIAL SOLUTNS,176928,TMT,Rich Daly,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
245,BF.B,BROWN FORMAN CORP,2435,CEO,Lawson Whiting,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
246,BG,BUNGE LTD,144435,CEO,Greg Heckman,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
247,CHRW,C H ROBINSON WORLDWIDE INC,65609,CEO,Bob Biesterfeld Jr,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
248,CHRW,C H ROBINSON WORLDWIDE INC,65609,TMT,John Wiehoff,Caucasian/White,0,0,M,0,0,No,,3BoardEx
249,CPB,CAMPBELL SOUP CO,2663,CEO,Mark Clouse,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
250,COF,CAPITAL ONE FINANCIAL CORP,30990,CEO,Rich Fairbank,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
251,CAH,CARDINAL HEALTH INC,2751,CEO,Mike Kaufmann,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
252,KMX,CARMAX INC,64410,CEO,Bill Nash,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
253,CTLT,CATALENT INC,20228,CEO,John Chiminski,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
254,CAT,CATERPILLAR INC,2817,CEO,Jim Umpleby III,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
255,CBOE,CBOE GLOBAL MARKETS INC,184500,CEO,Ed Tilly,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
256,CBRE,CBRE GROUP INC,260774,CEO,Bob Sulentic,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
257,CDW,CDW CORP,28320,CEO,Chris Leahy,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
258,CNC,CENTENE CORP,145552,CEO,Michael Neidorff,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
259,CERN,CERNER CORP,12850,CEO,D Shafer,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
260,CF,CF INDUSTRIES HOLDINGS INC,163946,CEO,Dan Daviau,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
261,CF,CF INDUSTRIES HOLDINGS INC,163946,TMT,David Kassie,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
262,CF,CF INDUSTRIES HOLDINGS INC,163946,CEO,Tony Will,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
263,CHTR,CHARTER COMMUNICATIONS INC,126136,CEO,Tom Rutledge,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
264,CVX,CHEVRON CORP,2991,CEO,Mike Wirth,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
265,CMG,CHIPOTLE MEXICAN GRILL INC,165914,CEO,Ryan Schneider,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
266,CHD,CHURCH & DWIGHT INC,3026,CEO,Matthew Farrell,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
267,CINF,CINCINNATI FINANCIAL CORP,14824,CEO,Steve Johnston,Caucasian/White,0,0,M,0,0,No,,3BoardEx
268,CSCO,CISCO SYSTEMS INC,20779,CEO,Chuck Robbins,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
269,CFG,CITIZENS FINANCIAL GROUP INC,21825,CEO,Bruce van Saun,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
270,CTXS,CITRIX SYSTEMS INC,61676,CEO,David Henshall,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
271,CLX,CLOROX CO/DE,3121,CEO,Benno Dorer,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
272,CME,CME GROUP INC,149070,CEO,The Hon. Terry Duffy,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
273,CTSH,COGNIZANT TECH SOLUTIONS,111864,CEO,Brian Humphries,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
274,CL,COLGATE-PALMOLIVE CO,3170,CEO,Charles Bachtell,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
275,CAG,CONAGRA BRANDS INC,3362,CEO,Sean Connolly,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
276,COP,CONOCOPHILLIPS,8549,CEO,Ryan Lance,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
277,ED,CONSOLIDATED EDISON INC,3413,CEO,John McAvoy,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
278,STZ,CONSTELLATION BRANDS,2710,CEO,Bill Newlands Jr,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
279,STZ,CONSTELLATION BRANDS,2710,TMT,Doctor Richard Sands,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
280,STZ,CONSTELLATION BRANDS,2710,TMT,Rob Sands,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
281,COO,COOPER COS INC (THE),3504,CEO,Al White III,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
282,CPRT,COPART INC,29901,CEO,Jay Adair,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
283,CPRT,COPART INC,29901,TMT,Willis Johnson,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
284,CTVA,CORTEVA INC,35168,CEO,Jim Collins Jr,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
285,CSGP,COSTAR GROUP INC,112111,CEO,Andy Florance,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
286,COST,COSTCO WHOLESALE CORP,29028,CEO,W Jelinek,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
287,CTRA,COTERRA ENERGY INC,20548,CEO,Dan Dinges,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
288,CSX,CSX CORP,2574,CEO,Graeme Lempriere,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
289,CSX,CSX CORP,2574,CEO,Jim Foote,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
290,CMI,CUMMINS INC,3650,CEO,Doctor Leslie Klein,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
291,CMI,CUMMINS INC,3650,CEO,Tom Linebarger,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
292,CVS,CVS HEALTH CORP,7241,CEO,Larry Merlo,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
293,DHI,D R HORTON INC,25340,TMT,Donald Horton,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
294,DHR,DANAHER CORP,3735,TMT,Steven Rales,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
295,DHR,DANAHER CORP,3735,CEO,Tom Joyce Jr,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
296,DVA,DAVITA INC,61483,TMT,Kent Thiry,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
297,DE,DEERE & CO,3835,CEO,James Paterson,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
298,DE,DEERE & CO,3835,CEO,John May,Caucasian/White,0,0,M,0,0,No,,3BoardEx
299,DAL,DELTA AIR LINES INC,3851,CEO,Ed Bastian,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
300,XRAY,DENTSPLY SIRONA INC,13700,CEO,Don Casey Jr,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
301,DVN,DEVON ENERGY CORP,14934,CEO,Dave Hager,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
302,DXCM,DEXCOM INC,162887,CEO,Kevin Sayer,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
303,FANG,DIAMONDBACK ENERGY INC,170750,CEO,Travis Stice,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
304,DLR,DIGITAL REALTY TRUST INC,160991,CEO,Bill Stein,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
305,DFS,DISCOVER FINANCIAL SVCS,177376,CEO,Roger Hochschild,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
306,DISH,DISH NETWORK CORP,60900,TMT,Charlie Ergen,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
307,DG,DOLLAR GENERAL CORP,4016,CEO,Todd Vasos,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
308,DLTR,DOLLAR TREE INC,31587,TMT,Bob Sasser,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
309,DLTR,DOLLAR TREE INC,31587,CEO,Gary Philbin,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
310,D,DOMINION ENERGY INC,4029,CEO,Tom Farrell II,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
311,DOV,DOVER CORP,4058,CEO,Rich Tobin,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
312,DTE,DTE ENERGY CO,3897,TMT,Gerry Anderson,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
313,DTE,DTE ENERGY CO,3897,CEO,Jerry Norcia,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
314,DUK,DUKE ENERGY CORP,4093,CEO,Lynn Good,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
315,DRE,DUKE REALTY CORP,13510,CEO,Jim Connor,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
316,DXC,DXC TECHNOLOGY CO,3336,CEO,Mike Salvino,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
317,EMN,EASTMAN CHEMICAL CO,29392,CEO,Mark Costa,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
318,ECL,ECOLAB INC,4213,CEO,Doug Baker Jr,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
319,EW,EDWARDS LIFESCIENCES CORP,133366,CEO,Mike Mussallem,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
320,EW,EDWARDS LIFESCIENCES CORP,133366,CEO,Nick DeMare,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
321,EA,ELECTRONIC ARTS INC,16721,CEO,Andrew Wilson,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
322,ELV,ELEVANCE HEALTH INC,145046,CEO,Gail Boudreaux,Caucasian/White,0,0,F,1,0,Yes,,3BoardEx
323,EMR,EMERSON ELECTRIC CO,4321,CEO,David Farr,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
324,EOG,EOG RESOURCES INC,16478,CEO,Bill Thomas,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
325,EOG,EOG RESOURCES INC,16478,CEO,Gil Holzman,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
326,EPAM,EPAM SYSTEMS INC,187697,CEO,Arkadiy Dobkin,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
327,EFX,EQUIFAX INC,4423,CEO,Marc Rossiter,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
328,EFX,EQUIFAX INC,4423,CEO,Mark Begor,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
329,EQIX,EQUINIX INC,138743,CEO,Charles Meyers,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
330,EQIX,EQUINIX INC,138743,TMT,Peter Van Camp,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
331,EQR,EQUITY RESIDENTIAL,28733,CEO,Mark Parrell,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
332,ESS,ESSEX PROPERTY TRUST,30293,CEO,Mike Schall,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
333,ETSY,ETSY INC,23238,CEO,Josh Silverman,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
334,EVRG,EVERGY INC,6338,CEO,Terry Bassham,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
335,ES,EVERSOURCE ENERGY,7970,CEO,Jim Judge,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
336,EXPD,EXPEDITORS INTL WASH INC,4494,CEO,Jeff Musser,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
337,EXR,EXTRA SPACE STORAGE INC,160479,CEO,Joe Margolis,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
338,XOM,EXXON MOBIL CORP,4503,CEO,Darren Woods,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
339,FAST,FASTENAL CO,14225,CEO,Dan Florness,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
340,FRT,FEDERAL REALTY INVESTMENT TR,4605,CEO,Don Wood,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
341,FDX,FEDEX CORP,4598,CEO,Fred Smith,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
342,FIS,FIDELITY NATIONAL INFO SVCS,165993,CEO,Gary Norcross,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
343,FE,FIRSTENERGY CORP,8099,CEO,Chuck Jones Jr,Caucasian/White,0,0,M,0,0,No,,3BoardEx
344,FLT,FLEETCOR TECHNOLOGIES INC,184700,CEO,Mike Zahra,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
345,FLT,FLEETCOR TECHNOLOGIES INC,184700,CEO,Ron Clarke,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
346,FLIR,FLIR SYSTEMS INC,28477,CEO,Jim Cannon,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
347,FLS,FLOWSERVE CORP,4108,CEO,Robert Rowe,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
348,FMC,FMC CORP,4510,CEO,Doctor Pierre Brondeau,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
349,F,FORD MOTOR CO,4839,TMT,Bill Ford Jr,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
350,F,FORD MOTOR CO,4839,CEO,Jim Hackett,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
351,F,FORD MOTOR CO,4839,CEO,Tim Warman,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
352,FTV,FORTIVE CORP,26590,CEO,Jim Lico,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
353,FOXA,FOX CORP,34636,TMT,Keith Murdoch,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
354,FOXA,FOX CORP,34636,CEO,Lachlan Murdoch,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
355,BEN,FRANKLIN RESOURCES INC,4885,TMT,Rupert Johnson Jr,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
356,FCX,FREEPORT-MCMORAN INC,14590,CEO,Richard Adkerson,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
357,IT,GARTNER INC,12441,CEO,Gene Hall,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
358,GD,GENERAL DYNAMICS CORP,5046,CEO,Phebe Novakovic,Caucasian/White,0,0,F,1,0,Yes,,3BoardEx
359,GE,GENERAL ELECTRIC CO,5047,CEO,Larry Culp Jr,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
360,GPC,GENUINE PARTS CO,5125,CEO,Paul Donahue,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
361,GPN,GLOBAL PAYMENTS INC,141913,CEO,Jeff Sloan,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
362,GL,GLOBE LIFE INC,10614,CEO,Gary Coleman,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
363,GL,GLOBE LIFE INC,10614,CEO,Larry Hutchison,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
364,GS,GOLDMAN SACHS GROUP INC,114628,CEO,David Solomon,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
365,GWW,GRAINGER (W W) INC,5256,CEO,DG Macpherson,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
366,HAL,HALLIBURTON CO,5439,CEO,Jeff Miller,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
367,HIG,HARTFORD FINANCIAL SERVICES,61739,CEO,Chris Swift,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
368,HAS,HASBRO INC,5518,CEO,Brian Goldner,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
369,HCA,HCA HEALTHCARE INC,22260,CEO,Sam Hazen,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
370,JKHY,HENRY (JACK) & ASSOCIATES,11811,CEO,Dave Foss,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
371,HSIC,HENRY SCHEIN INC,61494,TMT,Jim Breslawski,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
372,HSIC,HENRY SCHEIN INC,61494,CEO,Stan Bergman,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
373,HSY,HERSHEY CO,5597,CEO,Michele Buck,Caucasian/White,0,0,F,1,0,Yes,,3BoardEx
374,HES,HESS CORP,1380,CEO,John Hess,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
375,HPE,HEWLETT PACKARD ENTERPRISE,26156,CEO,Antonio Neri,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
376,HLT,HILTON WORLDWIDE HOLDINGS,5643,CEO,Chris Nassetta,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
377,HLT,HILTON WORLDWIDE HOLDINGS,5643,TMT,Gregory Dillon,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
378,HOLX,HOLOGIC INC,20904,CEO,Steve MacMillan,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
379,HON,HONEYWELL INTERNATIONAL INC,1300,CEO,Darius Adamczyk,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
380,HRL,HORMEL FOODS CORP,5709,CEO,Jim Snee,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
381,HST,HOST HOTELS & RESORTS INC,7063,TMT,Dick Marriott,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
382,HST,HOST HOTELS & RESORTS INC,7063,CEO,Jim Risoleo,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
383,HPQ,HP INC,5606,CEO,Bernard Tourillon,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
384,HUM,HUMANA INC,27914,CEO,Bruce Broussard,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
385,JBHT,HUNT (JB) TRANSPRT SVCS INC,5783,TMT,James Thompson,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
386,JBHT,HUNT (JB) TRANSPRT SVCS INC,5783,CEO,John Roberts III,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
387,HBAN,HUNTINGTON BANCSHARES,5786,CEO,Steve Steinour,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
388,IDXX,IDEXX LABS INC,24197,CEO,Jonathan Mazelsky,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
389,ITW,ILLINOIS TOOL WORKS,5878,CEO,Ernest Santi,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
390,INCY,INCYTE CORP,29127,CEO,Herve Hoppenot,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
391,IR,INGERSOLL RAND INC,30098,CEO,Mike Lamach,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
392,PODD,INSULET CORP,177227,CEO,Shacey Petrovic,Caucasian/White,0,0,F,1,0,Yes,,3BoardEx
393,INTC,INTEL CORP,6008,CEO,Bob Swan,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
394,ICE,INTERCONTINENTAL EXCHANGE,163610,CEO,Jeff Sprecher,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
395,ICE,INTERCONTINENTAL EXCHANGE,163610,CEO,Joey St-Aubin,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
396,IPG,INTERPUBLIC GROUP OF COS,6136,CEO,Michael Roth,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
397,IFF,INTL FLAVORS & FRAGRANCES,6078,CEO,Andreas Fibig,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
398,IP,INTL PAPER CO,6104,CEO,Alen Silverrstieen,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
399,IP,INTL PAPER CO,6104,CEO,Mark Sutton,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
400,INTU,INTUIT INC,27928,TMT,Brad Smith,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
401,ISRG,INTUITIVE SURGICAL INC,136725,CEO,Doctor Gary Guthart,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
402,IVZ,INVESCO LTD,29804,CEO,Marty Flanagan,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
403,INVH,INVITATION HOMES INC,30004,CEO,Dallas Tanner,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
404,IPGP,IPG PHOTONICS CORP,175955,CEO,Doctor Valentin Gapontsev,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
405,IQV,IQVIA HOLDINGS INC,17928,CEO,Ari Bousbib,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
406,IRM,IRON MOUNTAIN INC,62374,CEO,Bill Meaney,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
407,J,JACOBS ENGINEERING GROUP INC,6216,CEO,Steve Demetriou,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
408,JNJ,JOHNSON & JOHNSON,6266,CEO,Alex Gorsky,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
409,JPM,JPMORGAN CHASE & CO,2968,CEO,Jamie Dimon,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
410,KSU,KANSAS CITY SOUTHERN,6335,CEO,Pat Ottensmeyer,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
411,K,KELLOGG CO,6375,CEO,J Rollinson,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
412,K,KELLOGG CO,6375,CEO,Steve Cahillane,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
413,KDP,KEURIG DR PEPPER INC,28877,CEO,Bob Gamgort Jr,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
414,KEYS,KEYSIGHT TECHNOLOGIES INC,20232,CEO,Ron Nersesian,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
415,KIM,KIMCO REALTY CORP,24731,CEO,Conor Flynn,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
416,KIM,KIMCO REALTY CORP,24731,TMT,Milton Cooper,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
417,KMI,KINDER MORGAN INC,6310,TMT,Rich Kinder,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
418,KMI,KINDER MORGAN INC,6310,CEO,Steve Kean,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
419,KLAC,KLA CORP,6304,CEO,Rick Wallace,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
420,KR,KROGER CO,6502,CEO,William McMullen,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
421,LHX,L3HARRIS TECHNOLOGIES INC,5492,CEO,Bill Brown,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
422,LHX,L3HARRIS TECHNOLOGIES INC,5492,TMT,Chris Kubasik,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
423,LH,LABORATORY CP OF AMER HLDGS,14960,CEO,Adam Schechter,Caucasian/White,0,0,M,0,0,No,,3BoardEx
424,LH,LABORATORY CP OF AMER HLDGS,14960,TMT,Dave King,Caucasian/White,0,0,M,0,0,No,,3BoardEx
425,LRCX,LAM RESEARCH CORP,6565,CEO,Tim Archer,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
426,LW,LAMB WESTON HOLDINGS INC,28790,CEO,Tom Werner,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
427,LVS,LAS VEGAS SANDS CORP,161844,CEO,Sheldon Adelson,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
