num,tic,conm_x,gvkey,ceo_minority,ethnicity (from boardex),ceo_name,ceo_race(black),First,Last,Company,AnnDate,BE
55,KO,COCA-COLA CO,3144,0,CAUCASIAN/WHITE,,,Kathy,Waller,Coca-Cola,2/20/14,1
56,NSC,NORFOLK SOUTHERN CORP,7923,0,CAUCASIAN/WHITE,,,,,,,
57,NWL,NEWELL BRANDS INC,7875,1,INDIAN/SOUTH ASIAN,,,,,,,
58,PHM,PULTEGROUP INC,8823,0,CAUCASIAN/WHITE,,,,,,,
59,ROL,ROLLINS INC,9225,0,CAUCASIAN/WHITE,,,,,,,
60,SO,SOUTHERN CO,9850,0,CAUCASIAN/WHITE,,,Christopher,Womack,Georgia Power,5/26/21,1
60,SO,SOUTHERN CO,9850,0,CAUCASIAN/WHITE,,,Christopher,Womack,Southern Company,12/22/08,1
61,UPS,UNITED PARCEL SERVICE INC,10920,0,CAUCASIAN/WHITE,,,Michael,Eskew,United Parcel Service,8/16/01,0
62,WRK,WESTROCK CO,29830,0,CAUCASIAN/WHITE,,,,,,,
63,JKHY,HENRY (JACK) & ASSOCIATES,11811,0,CAUCASIAN/WHITE,,,,,,,
64,IQV,IQVIA HOLDINGS INC,17928,0,CAUCASIAN/WHITE,,,,,,,
65,DXC,DXC TECHNOLOGY CO,3336,0,CAUCASIAN/WHITE,,,,,,,
66,FANG,DIAMONDBACK ENERGY INC,170750,0,CAUCASIAN/WHITE,,,,,,,
67,MO,ALTRIA GROUP INC,8543,0,CAUCASIAN/WHITE,,,,,,,
68,PFG,PRINCIPAL FINANCIAL GRP INC,145701,0,CAUCASIAN/WHITE,,,,,,,
69,COF,CAPITAL ONE FINANCIAL CORP,30990,0,CAUCASIAN/WHITE,,,,,,,
70,GD,GENERAL DYNAMICS CORP,5046,0,CAUCASIAN/WHITE,,,,,,,
71,HLT,HILTON WORLDWIDE HOLDINGS,5643,0,CAUCASIAN/WHITE,,,,,,,
72,LDOS,LEIDOS HOLDINGS INC,165123,0,CAUCASIAN/WHITE,,,,,,,
73,NOC,NORTHROP GRUMMAN CORP,7985,0,CAUCASIAN/WHITE,,,,,,,
74,VRSN,VERISIGN INC,66368,0,CAUCASIAN/WHITE,,,,,,,
75,ZBH,ZIMMER BIOMET HOLDINGS INC,144559,0,CAUCASIAN/WHITE,,,,,,,
76,LEG,LEGGETT & PLATT INC,6649,0,CAUCASIAN/WHITE,,,,,,,
77,LEG,LEGGETT & PLATT INC,6649,0,CAUCASIAN/WHITE,,,,,,,
78,AES,AES CORP (THE),24216,1,HISPANIC/LATIN AMERICAN,,,,,,,
79,AVB,AVALONBAY COMMUNITIES INC,29875,0,CAUCASIAN/WHITE,,,,,,,
80,POOL,POOL CORP,61420,0,CAUCASIAN/WHITE,,,,,,,
81,D,DOMINION ENERGY INC,4029,0,CAUCASIAN/WHITE,,,,,,,
82,MPC,MARATHON PETROLEUM CORP,186989,0,CAUCASIAN/WHITE,,,,,,,
83,SJM,SMUCKER (JM) CO,9777,0,CAUCASIAN/WHITE,,,,,,,
84,TFX,TELEFLEX INC,10407,0,CAUCASIAN/WHITE,,,,,,,
85,CERN,CERNER CORP,12850,0,PREFER NOT TO DISCLOSE,,,,,,,
86,GLW,CORNING INC,3532,0,CAUCASIAN/WHITE,,,Lawrence,McRae,Corning,10/7/10,1
87,CMI,CUMMINS INC,3650,0,CAUCASIAN/WHITE,,,,,,,
88,TSCO,TRACTOR SUPPLY CO,29736,0,CAUCASIAN/WHITE,,,,,,,
89,LUMN,LUMEN TECHNOLOGIES INC,2884,0,CAUCASIAN/WHITE,,,,,,,
90,CINF,CINCINNATI FINANCIAL CORP,14824,0,CAUCASIAN/WHITE,,,,,,,
91,ANSS,ANSYS INC,63080,1,INDIAN/SOUTH ASIAN,,,,,,,
92,VTRS,VIATRIS INC,7637,0,CAUCASIAN/WHITE,,,,,,,
93,FISV,FISERV INC,12635,1,ASIAN (EXCLUDE INDIAN/SOUTH ASIAN),,,,,,,
94,ORLY,O'REILLY AUTOMOTIVE INC,28180,0,CAUCASIAN/WHITE,,,,,,,
95,CMS,CMS ENERGY CORP,3439,0,CAUCASIAN/WHITE,,,Rejji,Hayes,CMS Energy,5/1/17,1
96,LHX,L3HARRIS TECHNOLOGIES INC,5492,0,CAUCASIAN/WHITE,,,,,,,
97,DOW,DOW INC,34443,0,CAUCASIAN/WHITE,,,,,,,
98,K,KELLOGG CO,6375,0,CAUCASIAN/WHITE,,,,,,,
99,UNM,UNUM GROUP,12726,0,CAUCASIAN/WHITE,,,,,,,
100,ROP,ROPER TECHNOLOGIES INC,24925,0,CAUCASIAN/WHITE,,,,,,,
101,SCHW,SCHWAB (CHARLES) CORP,13988,0,CAUCASIAN/WHITE,,,,,,,
102,UDR,UDR INC,10894,0,CAUCASIAN/WHITE,,,,,,,
103,WHR,WHIRLPOOL CORP,11465,0,CAUCASIAN/WHITE,,,Michael,Todman,Whirlpool,3/25/01,1
104,MTD,METTLER-TOLEDO INTL INC,65772,0,CAUCASIAN/WHITE,,,Olivier,Filliol,Mettler-Toledo International,11/1/07,0
105,LW,LAMB WESTON HOLDINGS INC,28790,0,CAUCASIAN/WHITE,,,,,,,
106,MU,MICRON TECHNOLOGY INC,7343,1,INDIAN/SOUTH ASIAN,,,,,,,
107,EVRG,EVERGY INC,6338,0,CAUCASIAN/WHITE,,,,,,,
108,KSU,KANSAS CITY SOUTHERN,6335,0,CAUCASIAN/WHITE,,,,,,,
109,GL,GLOBE LIFE INC,10614,0,CAUCASIAN/WHITE,,,,,,,
110,TYL,TYLER TECHNOLOGIES INC,10789,0,CAUCASIAN/WHITE,,,,,,,
111,SNA,SNAP-ON INC,9778,0,CAUCASIAN/WHITE,,,,,,,
112,STZ,CONSTELLATION BRANDS,2710,0,CAUCASIAN/WHITE,,,,,,,
113,HSIC,HENRY SCHEIN INC,61494,0,CAUCASIAN/WHITE,,,,,,,
114,FAST,FASTENAL CO,14225,0,CAUCASIAN/WHITE,,,,,,,
115,AAL,AMERICAN AIRLINES GROUP INC,1045,0,CAUCASIAN/WHITE,,,,,,,
116,DHI,D R HORTON INC,25340,0,CAUCASIAN/WHITE,,,,,,,
117,RJF,RAYMOND JAMES FINANCIAL INC,8898,0,CAUCASIAN/WHITE,,,,,,,
118,CSX,CSX CORP,2574,0,CAUCASIAN/WHITE,,,,,,,
119,FIS,FIDELITY NATIONAL INFO SVCS,165993,0,CAUCASIAN/WHITE,,,,,,,
