num,tic,conm_x,gvkey,ceo_minority,ethnicity (from boardex),ceo_name,ceo_race(black),First,Last,Company,AnnDate,BE
451,AXP,AMERICAN EXPRESS CO,1447,0,CAUCASIAN/WHITE,,,Kim,Goodman,American Express,7/12/07,1
451,AXP,AMERICAN EXPRESS CO,1447,0,CAUCASIAN/WHITE,,,Anr_,Williams,American Express,11/4/11,1
455,C,CITIGROUP INC,3243,0,CAUCASIAN/WHITE,,,Mark,Mason,Citigroup,9/7/06,1
458,EL,ESTEE LAUDER COMPANIES INC,61567,0,CAUCASIAN/WHITE,,,Tracey,Travis,Estee Lauder,7/18/12,1
458,EL,ESTEE LAUDER COMPANIES INC,61567,0,CAUCASIAN/WHITE,,,Tracey,Travis,Estee Lauder,7/18/12,1
473,NLSN,NIELSEN HOLDINGS PLC,100873,0,CAUCASIAN/WHITE,,,Jamere,Jackson,Nielsen Holdings plc,2/24/14,1
477,PFE,PFIZER INC,8530,0,CAUCASIAN/WHITE,,,Freda,Lewis-Hall,P_zer,5/4/09,1
480,RL,RALPH LAUREN CORP,64891,0,CAUCASIAN/WHITE,,,Tracey,Travis,Polo Ralph Lauren,11/20/04,1
483,TPR,TAPESTRY INC,140541,0,CAUCASIAN/WHITE,,,Jide,Zeitlin,Tapestry Inc,9/4/19,1
494,HII,HUNTINGTON INGALLS IND INC,186310,0,CAUCASIAN/WHITE,,,Michael,Smith,Huntington Ingalls Industries,10/30/15,1
494,HII,HUNTINGTON INGALLS IND INC,186310,0,CAUCASIAN/WHITE,,,Kellye,Walker,Huntington Ingalls Industries,12/17/14,1
