"coid","tic","conm_x","gvkey","ceo_name","0first","last","ceo_ethnicity","ceo_race(black)","ceo_minority","ceo_gender","ceo_female","2020_active","2020_active_may26_dec31","2020_two_ceos","2020_co-ceo","2020_ceo_change","2020_ceo_change_date","2020_in_or_out","ethnicity_boardex","BE_from_bermiss","Actual_Bermiss_discrepancy","RoleType_boardex","RoleName_boardex","Interim_boardex","DateStartRole_boardex","DateEndRole_boardex","2BE","2first"
97,"K","KELLOGG CO",6375,"Steve Cahillane","Steve","Cahillane","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"3/16/18",NA,NA,NA
98,"UNM","UNUM GROUP",12726,"Rick McKenney","Rick","McKenney","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"5/21/15",NA,NA,NA
99,"ROP","ROPER TECHNOLOGIES INC",24925,"Laurence Hunn","Laurence","Hunn","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"9/19/18",NA,NA,NA
100,"SCHW","SCHWAB (CHARLES) CORP",13988,"Walt Bettinger II","Walt","Bettinger","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"10/1/08","10/15/21",NA,NA
101,"UDR","UDR INC",10894,"Tom Toomey","Tom","Toomey","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"1/1/19",NA,NA,NA
102,"WHR","WHIRLPOOL CORP",11465,"Doctor Marc Bitzer","Doctor","Bitzer","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",1,1,"CEO","Chairman/President/CEO",0,"1/1/19","9/1/21",NA,NA
103,"MTD","METTLER-TOLEDO INTL INC",65772,"Olivier Filliol","Olivier","Filliol","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",0,0,"CEO","President/CEO",0,"1/1/09","3/31/21",0,"Olivier"
104,"LW","LAMB WESTON HOLDINGS INC",28790,"Tom Werner","Tom","Werner","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"11/9/16",NA,NA,NA
105,"MU","MICRON TECHNOLOGY INC",7343,"Sanjay Mehrotra","Sanjay","Mehrotra","Asian/Indian",0,1,"M",0,1,1,0,0,0,NA,NA,"INDIAN/SOUTH ASIAN",NA,0,"CEO","President/CEO",0,"5/8/17",NA,NA,NA
106,"EVRG","EVERGY INC",6338,"Terry Bassham","Terry","Bassham","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"6/5/18","1/4/21",NA,NA
107,"KSU","KANSAS CITY SOUTHERN",6335,"Pat Ottensmeyer","Pat","Ottensmeyer","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"7/1/16","12/14/21",NA,NA
108,"GL","GLOBE LIFE INC",10614,"Gary Coleman","Gary","Coleman","Caucasian/White",0,0,"M",0,1,1,1,1,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Co-Chairman/Co-CEO",0,"4/24/14","12/31/22",NA,NA
108,"GL","GLOBE LIFE INC",10614,"Larry Hutchison","Larry","Hutchison","Caucasian/White",0,0,"M",0,1,1,1,1,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Co-Chairman/Co-CEO",0,"4/24/14","12/31/22",NA,NA
109,"TYL","TYLER TECHNOLOGIES INC",10789,"H Moore Jr","H","Moore","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"5/10/18",NA,NA,NA
110,"SNA","SNAP-ON INC",9778,"Nick Pinchuk","Nick","Pinchuk","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"4/23/09",NA,NA,NA
111,"STZ","CONSTELLATION BRANDS",2710,"Bill Newlands Jr","Bill","Newlands","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"3/1/19",NA,NA,NA
112,"HSIC","HENRY SCHEIN INC",61494,"Stan Bergman","Stan","Bergman","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"5/18/05",NA,NA,NA
113,"FAST","FASTENAL CO",14225,"Dan Florness","Dan","Florness","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"1/1/16",NA,NA,NA
114,"AAL","AMERICAN AIRLINES GROUP INC",1045,"Doug Parker Jr","Doug","Parker","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"6/4/14","3/31/22",NA,NA
115,"DHI","D R HORTON INC",25340,"David V. Auld","David","Auld","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"10/1/14",NA,NA,NA
116,"RJF","RAYMOND JAMES FINANCIAL INC",8898,"Paul Reilly","Paul","Reilly","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"2/16/17",NA,NA,NA
117,"CSX","CSX CORP",2574,"Jim Foote","Jim","Foote","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"12/22/17","9/26/22",NA,NA
118,"FIS","FIDELITY NATIONAL INFO SVCS",165993,"Gary Norcross","Gary","Norcross","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"5/30/18","3/9/21",NA,NA
119,"REG","REGENCY CENTERS CORP",29099,"Lisa Palmer","Lisa","Palmer","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"1/1/20",NA,NA,NA
120,"ZTS","ZOETIS INC",13721,"Kristin Peck","Kristin","Peck","Caucasian/White",0,0,"F",1,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"1/1/20",NA,NA,NA
121,"EPAM","EPAM SYSTEMS INC",187697,"Arkadiy Dobkin","Arkadiy","Dobkin","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"2/8/12",NA,NA,NA
122,"MOS","MOSAIC CO",162129,"Joc O'Rourke","Joc","O'Rourke","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"8/5/15","8/29/23",NA,NA
123,"MNST","MONSTER BEVERAGE CORP",24316,"Rodney Sacks","Rodney","Sacks","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"7/1/96","1/13/21",NA,NA
124,"APD","AIR PRODUCTS & CHEMICALS INC",1209,"Seifi Ghasemi","Seifi","Ghasemi","Middle Eastern/Iranian",0,1,"M",0,1,1,0,0,0,NA,NA,"MIDDLE-EASTERN/NORTH AFRICAN",NA,0,"CEO","Chairman/President/CEO",0,"7/1/14",NA,NA,NA
125,"PPL","PPL CORP",8455,"Bill Spence","Bill","Spence","Caucasian/White",0,0,"M",0,1,1,0,0,1,"6/1/20","outgoing","CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"7/1/19","5/31/20",NA,NA
125,"PPL","PPL CORP",8455,"Vincent Sorgi","Vincent","Sorgi","Caucasian/White",0,0,"M",0,1,1,0,0,1,"6/1/20","incoming","CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"6/1/20",NA,NA,NA
126,"ULTA","ULTA BEAUTY INC",178704,"Mary Dillon","Mary","Dillon","Caucasian/White",0,0,"F",1,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"7/1/13","6/2/21",NA,NA
127,"CCL","CARNIVAL CORPORATION & PLC",13498,"Arnold Donald","Arnold","Donald","African American/Black",1,1,"M",0,1,1,0,0,0,NA,NA,"BLACK/AFRICAN AMERICAN",1,0,"CEO","President/CEO",0,"7/3/13","1/1/22",1,"Arnold"
128,"LEN","LENNAR CORP",6669,"Rick Beckwitt","Rick","Beckwitt","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"4/11/18","11/2/20",NA,NA
129,"NCLH","NORWEGIAN CRUISE LINE HLDGS",104432,"Frank Del Rio","Frank","Rio","Hispanic/Latino",0,1,"M",0,1,1,0,0,0,NA,NA,"HISPANIC/LATIN AMERICAN",NA,0,"CEO","President/CEO",0,"8/4/15","6/30/23",NA,NA
130,"RCL","ROYAL CARIBBEAN GROUP",28191,"Richard Fain","Richard","Fain","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"4/1/88","1/3/22",NA,NA
131,"CMG","CHIPOTLE MEXICAN GRILL INC",165914,"Brian Niccol","Brian","Niccol","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"3/1/18",NA,NA,NA
132,"EW","EDWARDS LIFESCIENCES CORP",133366,"Mike Mussallem","Mike","Mussallem","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"3/31/00","5/11/23",NA,NA
133,"SWKS","SKYWORKS SOLUTIONS INC",1327,"Liam Griffin","Liam","Griffin","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"5/11/16","5/13/21",NA,NA
134,"HSY","HERSHEY CO",5597,"Michele Buck","Michele","Buck","Caucasian/White",0,0,"F",1,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"10/11/19",NA,NA,NA
135,"LVS","LAS VEGAS SANDS CORP",161844,"Sheldon Adelson","Sheldon","Adelson","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO/Treasurer",0,"8/1/04","1/11/21",NA,NA
136,"WYNN","WYNN RESORTS LTD",149318,"Matt Maddox","Matt","Maddox","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"5/29/19","1/31/22",NA,NA
137,"BR","BROADRIDGE FINANCIAL SOLUTNS",176928,"Timothy C. Gokey","Timothy","Gokey","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"1/2/19",NA,NA,NA
138,"KIM","KIMCO REALTY CORP",24731,"Conor Flynn","Conor","Flynn","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"2/27/17",NA,NA,NA
139,"FLIR","FLIR SYSTEMS INC",28477,"Jim Cannon","Jim","Cannon","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"6/19/17","5/14/21",NA,NA
140,"FE","FIRSTENERGY CORP",8099,"Steven E. Strah","Steven","Strah","Caucasian/White",0,0,"M",0,1,0,1,0,1,"10/29/20","incoming","CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"10/1/20",NA,NA,NA
140,"FE","FIRSTENERGY CORP",8099,"Chuck Jones Jr","Chuck","Jones","Caucasian/White",0,0,"M",0,1,0,1,0,1,"10/29/20","outgoing","CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"1/1/15","5/24/20",1,"Rene"
141,"BRK.B","BERKSHIRE HATHAWAY",2176,"Warren Buffett","Warren","Buffett","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"1/1/70",NA,NA,NA
142,"UNP","UNION PACIFIC CORP",10867,"Lance Fritz","Lance","Fritz","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",1,1,"CEO","Chairman/President/CEO",0,"10/1/15","8/14/23",NA,NA
143,"DE","DEERE & CO",3835,"John May","John","May","Caucasian/White",0,0,"M",0,1,0,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"11/4/19","5/1/20",NA,NA
144,"RF","REGIONS FINANCIAL CORP",4674,"John Turner Jr","John","Turner","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"7/2/18",NA,NA,NA
145,"VMC","VULCAN MATERIALS CO",11228,"Tom Hill","Tom","Hill","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"1/1/16","9/20/23",NA,NA
146,"APA","APA CORP",1678,"John Christmann IV","John","Christmann","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"1/20/15","1/1/24",NA,NA
147,"BKR","BAKER HUGHES CO",32106,"Lorenzo Simonelli","Lorenzo","Simonelli","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"10/2/17",NA,NA,NA
148,"CCI","CROWN CASTLE INC",113490,"Jay Brown","Jay","Brown","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,1,"CEO","President/CEO",0,"6/1/16","1/16/24",NA,NA
149,"CNP","CENTERPOINT ENERGY INC",5742,"Scott M. Prochazka","Scott","Prochazka","Caucasian/White",0,0,"M",0,1,1,0,0,1,"20-Feb","outgoing","CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"1/1/14","2/19/20",NA,NA
149,"CNP","CENTERPOINT ENERGY INC",5742,"John W. Somerhalder II","John","Somerhalder","Caucasian/White",0,0,"M",0,1,1,1,0,1,"20-Feb","incoming",NA,NA,0,"CEO",NA,0,"2/19/20",NA,NA,NA
150,"COP","CONOCOPHILLIPS",8549,"Ryan Lance","Ryan","Lance","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"5/1/12",NA,NA,NA
151,"CTRA","COTERRA ENERGY INC",20548,"Dan Dinges","Dan","Dinges","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"5/2/02","10/1/21",NA,NA
152,"EOG","EOG RESOURCES INC",16478,"Bill Thomas","Bill","Thomas","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"1/1/14","9/30/21",0,"Robert"
153,"HAL","HALLIBURTON CO",5439,"Jeff Miller","Jeff","Miller","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"1/1/19",NA,0,"Norman"
154,"HPE","HEWLETT PACKARD ENTERPRISE",26156,"Antonio Neri","Antonio","Neri","Hispanic/Argentinian",0,1,"M",0,1,1,0,0,0,NA,NA,"HISPANIC/LATIN AMERICAN",NA,0,"CEO","President/CEO",0,"2/1/18",NA,NA,NA
155,"KMI","KINDER MORGAN INC",6310,"Steve Kean","Steve","Kean","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"4/18/18","8/1/23",NA,NA
156,"LYB","LYONDELLBASELL INDUSTRIES NV",294524,"Bob Patel","Bob","Patel","Asian/Indian",0,1,"M",0,1,1,0,0,0,NA,NA,"INDIAN/SOUTH ASIAN",NA,0,"CEO","CEO",0,"6/1/18","12/31/21",NA,NA
157,"MRO","MARATHON OIL CORP",7017,"Lee Tillman","Lee","Tillman","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"2/1/19",NA,NA,NA
158,"NOV","NOV INC",63892,"Clay Williams","Clay","Williams","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"5/30/14",NA,1,"Ronald"
159,"NRG","NRG ENERGY INC",135990,"Mauricio Gutierrez","Mauricio","Gutierrez","Hispanic/Mexican",0,1,"M",0,1,1,0,0,0,NA,NA,"HISPANIC/LATIN AMERICAN",NA,0,"CEO","President/CEO",0,"1/4/16",NA,NA,NA
160,"OXY","OCCIDENTAL PETROLEUM CORP",8068,"Vicki Hollub","Vicki","Hollub","Caucasian/White",0,0,"F",1,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"4/29/16",NA,NA,NA
161,"PSX","PHILLIPS 66",170841,"Greg Garland","Greg","Garland","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"6/1/14","7/1/22",NA,NA
162,"PWR","QUANTA SERVICES INC",66446,"Duke Austin Jr","Duke","Austin","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO/COO",0,"3/14/16","1/26/22",NA,NA
163,"SLB","SCHLUMBERGER LTD",9465,"Olivier Le Peuch","Olivier","Peuch","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"8/1/19",NA,NA,NA
164,"SYY","SYSCO CORP",10247,"Kevin Hourican","Kevin","Hourican","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"2/1/20",NA,NA,NA
165,"TRGP","TARGA RESOURCES CORP",185532,"Joe Bob Perkins","Joe","Perkins","Caucasian/White",0,0,"M",0,1,0,0,0,1,"20-Mar","outgoing","CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"1/1/12","3/1/20",NA,NA
165,"TRGP","TARGA RESOURCES CORP",185532,"Matthew J. Meloy","Matthew","Meloy","Caucasian/White",0,0,"M",0,1,1,0,0,1,"20-Mar","incoming","CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"3/1/20",NA,NA,NA
166,"WM","WASTE MANAGEMENT INC",14477,"Jim Fish Jr","Jim","Fish","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"11/11/16",NA,NA,NA
167,"MTB","M & T BANK CORP",4699,"Rene Jones","Rene","Jones","African American/Black",1,1,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",1,0,"CEO","Chairman/CEO",0,"12/20/17",NA,1,"Rene"
168,"CARR","CARRIER GLOBAL CORP",36191,"David L. Gitlin","David","Gitlin","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"3/1/20",NA,NA,NA
169,"NEE","NEXTERA ENERGY INC",4517,"Jim Robo","Jim","Robo","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"12/13/13","3/1/22",NA,NA
170,"SBAC","SBA COMMUNICATIONS CORP",121382,"Jeff Stoops","Jeff","Stoops","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"1/1/02","12/31/23",NA,NA
171,"BWA","BORGWARNER INC",28742,"Frederic Lissalde","Frederic","Lissalde","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"8/1/18",NA,NA,NA
172,"NI","NISOURCE INC",7974,"Joe Hamrock","Joe","Hamrock","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",1,1,"CEO","President/CEO",0,"7/1/15","2/14/22",NA,NA
173,"ES","EVERSOURCE ENERGY",7970,"Jim Judge","Jim","Judge","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"5/3/17","5/5/21",NA,NA
174,"CTAS","CINTAS CORP",3062,"Scott Farmer","Scott","Farmer","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",1,1,"CEO","Chairman/CEO",0,"9/30/16","5/31/21",NA,NA
175,"FITB","FIFTH THIRD BANCORP",4640,"Greg Carmichael","Greg","Carmichael","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",0,0,"CEO","Chairman/President/CEO",0,"2/1/18","10/26/20",0,"Greg"
176,"KR","KROGER CO",6502,"William McMullen","William","McMullen","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"1/1/15",NA,NA,NA
177,"PG","PROCTER & GAMBLE CO",8762,"David Taylor","David","Taylor","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"7/1/16","11/1/21",NA,NA
178,"IPGP","IPG PHOTONICS CORP",175955,"Doctor Valentin Gapontsev","Doctor","Gapontsev","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"1/1/98","5/4/21",NA,NA
179,"WAT","WATERS CORP",61574,"Christopher J. O'Connell","Christopher","O'Connell","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"9/1/15",NA,NA,NA
180,"WELL","WELLTOWER INC",5543,"Tom DeRosa","Tom","DeRosa","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"4/1/14","10/5/20",NA,NA
181,"BDX","BECTON DICKINSON & CO",2111,"Vincent A. Forlenza","Vincent","Forlenza","Caucasian/White",0,0,"M",0,1,1,0,0,1,"20-Jan","outgoing","CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"10/1/11","1/28/20",NA,NA
181,"BDX","BECTON DICKINSON & CO",2111,"Thomas E. Polen","Thomas","Polen","Caucasian/White",0,0,"M",0,1,1,0,0,1,"20-Jan","incoming","CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"1/28/20",NA,NA,NA
182,"CTSH","COGNIZANT TECH SOLUTIONS",111864,"Brian Humphries","Brian","Humphries","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"4/1/19","1/12/23",NA,NA
183,"BALL","BALL CORP",1988,"John Hayes","John","Hayes","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"4/24/13","1/1/21",NA,NA
184,"TAP","MOLSON COORS BEVERAGE CO",3505,"Gavin Hattersley","Gavin","Hattersley","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"9/28/19",NA,NA,NA
185,"DOV","DOVER CORP",4058,"Rich Tobin","Rich","Tobin","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"5/1/18","2/10/24",NA,NA
186,"AME","AMETEK INC",1598,"David Zapico","David","Zapico","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"7/7/17",NA,NA,NA
187,"LNC","LINCOLN NATIONAL CORP",6742,"Dennis Glass","Dennis","Glass","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"7/6/07","5/27/22",NA,NA
188,"WST","WEST PHARMACEUTICAL SVSC INC",11376,"Eric Green","Eric","Green","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"12/17/15","5/24/22",NA,NA
189,"APH","AMPHENOL CORP",14282,"Richard Norwitt","Richard","Norwitt","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"1/5/09",NA,NA,NA
190,"VLO","VALERO ENERGY CORP",15247,"Joseph W. Gorder","Joseph","Gorder","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"5/1/14",NA,NA,NA
191,"SYK","STRYKER CORP",10115,"Kevin Lobo","Kevin","Lobo","Asian/Indian",0,1,"M",0,1,1,0,0,0,NA,NA,"INDIAN/SOUTH ASIAN",NA,0,"CEO","Chair/CEO",0,"8/1/18","10/1/21",NA,NA
192,"FTV","FORTIVE CORP",26590,"Jim Lico","Jim","Lico","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"7/2/16",NA,NA,NA
193,"PAYX","PAYCHEX INC",8402,"Martin Mucci","Martin","Mucci","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"10/14/10","12/1/21",NA,NA
194,"BF.B","BROWN FORMAN CORP",2435,"Lawson Whiting","Lawson","Whiting","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"3/28/19",NA,NA,NA
195,"HUM","HUMANA INC",27914,"Bruce Broussard","Bruce","Broussard","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"1/1/13","1/8/24",NA,NA
196,"YUM","YUM BRANDS INC",65417,"David W. Gibbs","David","Gibbs","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"1/1/20",NA,NA,NA
197,"AMGN","AMGEN INC",1602,"Bob Bradway","Bob","Bradway","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"1/1/13",NA,NA,NA
