obs,tic,gvkey,conm_x,CrossVerified_ExecType,DirectorName,Ethnicity,Race(black),BE_fromBermissData,Actual_Bermiss_discrepancy,Minority,Gender,Female,Num_Black_TMT,Active2020,CEO_Appointment_date_within_2020,DirectorName_source
46,AVY,1913,AVERY DENNISON CORP,CEO,Mitch Butier,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
47,BKR,32106,BAKER HUGHES CO,CEO,Lorenzo Simonelli,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
48,BALL,1988,BALL CORP,CEO,John Hayes,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
49,BAC,7647,BANK OF AMERICA CORP,CEO,Brian Moynihan,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
50,BBWI,6733,BATH & BODY WORKS INC,CEO,Leslie Wexner,Caucasian/White,0,,0,0,M,0,0,No,,BoardEx
51,BAX,2086,BAXTER INTERNATIONAL INC,CEO,Joe Almeida,Hispanic/Latino,0,,0,1,M,0,0,Yes,,BoardEx
52,BSXGF,152558,BELO SUN MINING CORP (Verena Minerals Corp prior to 07/2010),CEO,Peter Tagliamonte,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
53,WRB,14822,BERKLEY (W R) CORP,CEO,Rob Berkley Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
54,BRK.B,2176,BERKSHIRE HATHAWAY,CEO,Warren Buffett,Caucasian/White,0,,0,0,M,0,0,No,,BoardEx
55,BBY,2184,BEST BUY CO INC,CEO,Corie Barry,Caucasian/White,0,0,0,0,F,1,0,Yes,,BoardEx
56,BIO,2220,BIO-RAD LABORATORIES INC,CEO,Norman Schwartz,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
57,BIIB,24468,BIOGEN INC,CEO,Michel Vounatsos,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
58,BLK,124434,BLACKROCK INC,CEO,Larry Fink,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
59,BKNG,119314,BOOKING HOLDINGS INC,CEO,Glenn Fogel,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
60,BWA,28742,BORGWARNER INC,CEO,Frederic Lissalde,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
61,BXP,64925,BOSTON PROPERTIES INC,CEO,Owen Thomas,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
62,BSX,25279,BOSTON SCIENTIFIC CORP,CEO,Mike Mahoney,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
63,BMY,2403,BRISTOL-MYERS SQUIBB CO,CEO,Doctor Giovanni Caforio,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
64,AVGO,180711,BROADCOM INC,CEO,Hock Tan,Asian,0,,0,1,M,0,0,Yes,,BoardEx
65,BF.B,2435,BROWN FORMAN CORP,CEO,Lawson Whiting,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
66,BG,144435,BUNGE LTD,CEO,Greg Heckman,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
