obs,coid,tic,conm_x,gvkey,ceo_name,ceo_race(black)_manual check,ceo_ethnicity_manual check,,ceo_minority,ceo_gender,ceo_female,ceo_active_2020_may26_dec31,firm_multiple_ceos_may26_dec31,firm_coceo_2020,firm_ceo_change_2020_may26_dec31,firm_ceo_change_date_2020,ceo_in_or_out_2020,DateStartRole_boardex,DateEndRole_boardex,Actual_Bermiss_discrepancy,RoleName_boardex,Interim_boardex,ethnicity_boardex (for comparison with ceo_ethnicity column)
32,32,NUE,NUCOR CORP,8030,Leon J. Topalian,0,Caucasian/White,,0,M,0,1,0,0,0,1/20/20,incoming,1/1/20,,0,,0,CAUCASIAN/WHITE
33,33,SEE,SEALED AIR CORP,9555,Ted Doheny II,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/18,10/23/23,0,President/CEO,0,CAUCASIAN/WHITE
34,34,TFC,TRUIST FINANCIAL CORP,11856,Kelly King,0,Caucasian/White,,0,M,0,1,0,0,0,,,12/20/16,9/12/21,0,Chairman/CEO,0,CAUCASIAN/WHITE
35,35,XRAY,DENTSPLY SIRONA INC,13700,Don Casey Jr,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/12/18,4/19/22,0,CEO,0,CAUCASIAN/WHITE
36,36,ALGN,ALIGN TECHNOLOGY INC,141384,Joe Hogan,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/1/15,,0,President/CEO,0,CAUCASIAN/WHITE
37,37,FCX,FREEPORT-MCMORAN INC,14590,Richard Adkerson,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/31/13,2/2/21,0,Vice Chairman/President/CEO,0,CAUCASIAN/WHITE
38,38,MCHP,MICROCHIP TECHNOLOGY INC,27965,Steve Sanghi,0,Asian/Indian,,1,M,0,1,0,0,0,,,2/3/16,3/1/21,0,Chairman/CEO,0,INDIAN/SOUTH ASIAN
39,39,NLOK,NORTONLIFELOCK INC (Pre Symantec),15855,Vincent Pilette,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/14/99,,1,,0,CAUCASIAN/WHITE
40,40,ON,ON SEMICONDUCTOR CORP,134932,Keith Jackson,0,Caucasian/White,,0,M,0,1,0,0,0,,,11/19/02,12/7/20,0,President/CEO,0,CAUCASIAN/WHITE
41,41,PNW,PINNACLE WEST CAPITAL CORP,1075,Jeff Guldner,0,Caucasian/White,,0,M,0,1,0,0,0,,,11/15/19,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
