obs,coid,tic,conm_x,gvkey,ceo_name,ceo_race(black)_manual check,ceo_ethnicity_manual check,,ceo_minority,ceo_gender,ceo_female,ceo_active_2020_may26_dec31,firm_multiple_ceos_may26_dec31,firm_coceo_2020,firm_ceo_change_2020_may26_dec31,firm_ceo_change_date_2020,ceo_in_or_out_2020,DateStartRole_boardex,DateEndRole_boardex,Actual_Bermiss_discrepancy,RoleName_boardex,Interim_boardex,ethnicity_boardex (for comparison with ceo_ethnicity column)
131,131,CMG,CHIPOTLE MEXICAN GRILL INC,165914,Brian Niccol,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/1/18,,0,Chairman/CEO,0,CAUCASIAN/WHITE
132,132,EW,EDWARDS LIFESCIENCES CORP,133366,Mike Mussallem,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/31/00,5/11/23,0,Chairman/CEO,0,CAUCASIAN/WHITE
133,133,SWKS,SKYWORKS SOLUTIONS INC,1327,Liam Griffin,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/11/16,5/13/21,0,President/CEO,0,CAUCASIAN/WHITE
134,134,HSY,HERSHEY CO,5597,Michele Buck,0,Caucasian/White,,0,F,1,1,0,0,0,,,10/11/19,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
135,135,LVS,LAS VEGAS SANDS CORP,161844,Sheldon Adelson,0,Caucasian/White,,0,M,0,1,0,0,0,,,8/1/04,1/11/21,0,Chairman/CEO/Treasurer,0,CAUCASIAN/WHITE
136,136,WYNN,WYNN RESORTS LTD,149318,Matt Maddox,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/29/19,1/31/22,0,CEO,0,CAUCASIAN/WHITE
137,137,BR,BROADRIDGE FINANCIAL SOLUTNS,176928,Timothy C. Gokey,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/2/19,,0,,0,CAUCASIAN/WHITE
138,138,KIM,KIMCO REALTY CORP,24731,Conor Flynn,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/27/17,,0,CEO,0,CAUCASIAN/WHITE
139,139,FLIR,FLIR SYSTEMS INC,28477,Jim Cannon,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/19/17,5/14/21,0,President/CEO,0,CAUCASIAN/WHITE
140,140,FE,FIRSTENERGY CORP,8099,"Chuck Jones Jr, Steven E. Strah",0,Caucasian/White,,0,M,0,0,1,0,1,10/29/20,incoming,10/1/20,,0,President/CEO,0,CAUCASIAN/WHITE
141,141,BRK.B,BERKSHIRE HATHAWAY,2176,Warren Buffett,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/70,,0,Chairman/CEO,0,CAUCASIAN/WHITE
142,142,UNP,UNION PACIFIC CORP,10867,Lance Fritz,0,Caucasian/White,,0,M,0,1,0,0,0,,,10/1/15,8/14/23,1,Chairman/President/CEO,0,CAUCASIAN/WHITE
143,143,DE,DEERE & CO,3835,John May,0,Caucasian/White,,0,M,0,0,0,0,0,,,11/4/19,5/1/20,0,President/CEO,0,CAUCASIAN/WHITE
144,144,RF,REGIONS FINANCIAL CORP,4674,John Turner Jr,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/2/18,,0,President/CEO,0,CAUCASIAN/WHITE
145,145,VMC,VULCAN MATERIALS CO,11228,Tom Hill,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/16,9/20/23,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
146,146,APA,APA CORP,1678,John Christmann IV,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/20/15,1/1/24,0,President/CEO,0,CAUCASIAN/WHITE
147,147,BKR,BAKER HUGHES CO,32106,Lorenzo Simonelli,0,Caucasian/White,,0,M,0,1,0,0,0,,,10/2/17,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
148,148,CCI,CROWN CASTLE INC,113490,Jay Brown,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/1/16,1/16/24,1,President/CEO,0,CAUCASIAN/WHITE
149,149,CNP,CENTERPOINT ENERGY INC,5742,John W. Somerhalder II,0,Caucasian/White,,0,M,0,1,0,0,1,2/20/20,incoming,2/19/20,,0,,0,CAUCASIAN/WHITE
150,150,COP,CONOCOPHILLIPS,8549,Ryan Lance,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/1/12,,0,Chairman/CEO,0,CAUCASIAN/WHITE
151,151,CTRA,COTERRA ENERGY INC,20548,Dan Dinges,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/2/02,10/1/21,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
152,152,EOG,EOG RESOURCES INC,16478,Bill Thomas,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/14,9/30/21,0,Chairman/CEO,0,CAUCASIAN/WHITE
153,153,HAL,HALLIBURTON CO,5439,Jeff Miller,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/19,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
154,154,HPE,HEWLETT PACKARD ENTERPRISE,26156,Antonio Neri,0,Hispanic/Argentinian,,1,M,0,1,0,0,0,,,2/1/18,,0,President/CEO,0,HISPANIC/LATIN AMERICAN
155,155,KMI,KINDER MORGAN INC,6310,Steve Kean,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/18/18,8/1/23,0,CEO,0,CAUCASIAN/WHITE
156,156,LYB,LYONDELLBASELL INDUSTRIES NV,294524,Bob Patel,0,Asian/Indian,,1,M,0,1,0,0,0,,,6/1/18,12/31/21,0,CEO,0,INDIAN/SOUTH ASIAN
157,157,MRO,MARATHON OIL CORP,7017,Lee Tillman,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/1/19,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
158,158,NOV,NOV INC,63892,Clay Williams,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/30/14,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
159,159,NRG,NRG ENERGY INC,135990,Mauricio Gutierrez,0,Hispanic/Mexican,,1,M,0,1,0,0,0,,,1/4/16,,0,President/CEO,0,HISPANIC/LATIN AMERICAN
160,160,OXY,OCCIDENTAL PETROLEUM CORP,8068,Vicki Hollub,0,Caucasian/White,,0,F,1,1,0,0,0,,,4/29/16,,0,President/CEO,0,CAUCASIAN/WHITE
161,161,PSX,PHILLIPS 66,170841,Greg Garland,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/1/14,7/1/22,0,Chairman/CEO,0,CAUCASIAN/WHITE
162,162,PWR,QUANTA SERVICES INC,66446,Duke Austin Jr,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/14/16,1/26/22,0,President/CEO/COO,0,CAUCASIAN/WHITE
163,163,SLB,SCHLUMBERGER LTD,9465,Olivier Le Peuch,0,Caucasian/White,,0,M,0,1,0,0,0,,,8/1/19,,0,CEO,0,CAUCASIAN/WHITE
164,164,SYY,SYSCO CORP,10247,Kevin Hourican,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/1/20,,0,,0,CAUCASIAN/WHITE
165,165,TRGP,TARGA RESOURCES CORP,185532,Matthew J. Meloy,0,Caucasian/White,,0,M,0,1,0,0,0,3/1/20,incoming,3/1/20,,0,,0,CAUCASIAN/WHITE
166,166,WM,WASTE MANAGEMENT INC,14477,Jim Fish Jr,0,Caucasian/White,,0,M,0,1,0,0,0,,,11/11/16,,0,President/CEO,0,CAUCASIAN/WHITE
167,167,MTB,M & T BANK CORP,4699,Rene Jones,1,African American/Black,,1,M,0,1,0,0,0,,,12/20/17,,0,Chairman/CEO,0,CAUCASIAN/WHITE
168,168,CARR,CARRIER GLOBAL CORP,36191,David L. Gitlin,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/1/20,,0,,0,CAUCASIAN/WHITE
169,169,NEE,NEXTERA ENERGY INC,4517,Jim Robo,0,Caucasian/White,,0,M,0,1,0,0,0,,,12/13/13,3/1/22,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
170,170,SBAC,SBA COMMUNICATIONS CORP,121382,Jeff Stoops,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/02,12/31/23,0,President/CEO,0,CAUCASIAN/WHITE
171,171,BWA,BORGWARNER INC,28742,Frederic Lissalde,0,Caucasian/White,,0,M,0,1,0,0,0,,,8/1/18,,0,President/CEO,0,CAUCASIAN/WHITE
172,172,NI,NISOURCE INC,7974,Joe Hamrock,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/1/15,2/14/22,1,President/CEO,0,CAUCASIAN/WHITE
173,173,ES,EVERSOURCE ENERGY,7970,Jim Judge,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/3/17,5/5/21,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
174,174,CTAS,CINTAS CORP,3062,Scott Farmer,0,Caucasian/White,,0,M,0,1,0,0,0,,,9/30/16,5/31/21,1,Chairman/CEO,0,CAUCASIAN/WHITE
175,175,FITB,FIFTH THIRD BANCORP,4640,Greg Carmichael,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/1/18,10/26/20,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
176,176,KR,KROGER CO,6502,William McMullen,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/15,,0,Chairman/CEO,0,CAUCASIAN/WHITE
177,177,PG,PROCTER & GAMBLE CO,8762,David Taylor,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/1/16,11/1/21,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
178,178,IPGP,IPG PHOTONICS CORP,175955,Doctor Valentin Gapontsev,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/98,5/4/21,0,Chairman/CEO,0,CAUCASIAN/WHITE
179,179,WAT,WATERS CORP,61574,Christopher J. O'Connell,0,Caucasian/White,,0,M,0,1,0,0,0,,,9/1/15,,0,,0,CAUCASIAN/WHITE
180,180,WELL,WELLTOWER INC,5543,Tom DeRosa,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/1/14,10/5/20,0,Chairman/CEO,0,CAUCASIAN/WHITE
181,181,BDX,BECTON DICKINSON & CO,2111,Thomas E. Polen,0,Caucasian/White,,0,M,0,1,0,0,1,1/28/20,incoming,1/28/20,,0,,0,CAUCASIAN/WHITE
182,182,CTSH,COGNIZANT TECH SOLUTIONS,111864,Brian Humphries,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/1/19,1/12/23,0,CEO,0,CAUCASIAN/WHITE
183,183,BALL,BALL CORP,1988,John Hayes,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/24/13,1/1/21,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
184,184,TAP,MOLSON COORS BEVERAGE CO,3505,Gavin Hattersley,0,Caucasian/White,,0,M,0,1,0,0,0,,,9/28/19,,0,President/CEO,0,CAUCASIAN/WHITE
185,185,DOV,DOVER CORP,4058,Rich Tobin,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/1/18,2/10/24,0,President/CEO,0,CAUCASIAN/WHITE
186,186,AME,AMETEK INC,1598,David Zapico,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/7/17,,0,Chairman/CEO,0,CAUCASIAN/WHITE
187,187,LNC,LINCOLN NATIONAL CORP,6742,Dennis Glass,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/6/07,5/27/22,0,President/CEO,0,CAUCASIAN/WHITE
188,188,WST,WEST PHARMACEUTICAL SVSC INC,11376,Eric Green,0,Caucasian/White,,0,M,0,1,0,0,0,,,12/17/15,5/24/22,0,President/CEO,0,CAUCASIAN/WHITE
189,189,APH,AMPHENOL CORP,14282,Richard Norwitt,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/5/09,,0,President/CEO,0,CAUCASIAN/WHITE
190,190,VLO,VALERO ENERGY CORP,15247,Joseph W. Gorder,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/1/14,,0,,0,CAUCASIAN/WHITE
191,191,SYK,STRYKER CORP,10115,Kevin Lobo,0,Asian/Indian,,1,M,0,1,0,0,0,,,8/1/18,10/1/21,0,Chair/CEO,0,INDIAN/SOUTH ASIAN
192,192,FTV,FORTIVE CORP,26590,Jim Lico,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/2/16,,0,President/CEO,0,CAUCASIAN/WHITE
193,193,PAYX,PAYCHEX INC,8402,Martin Mucci,0,Caucasian/White,,0,M,0,1,0,0,0,,,10/14/10,12/1/21,0,President/CEO,0,CAUCASIAN/WHITE
194,194,BF.B,BROWN FORMAN CORP,2435,Lawson Whiting,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/28/19,,0,President/CEO,0,CAUCASIAN/WHITE
195,195,HUM,HUMANA INC,27914,Bruce Broussard,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/13,1/8/24,0,President/CEO,0,CAUCASIAN/WHITE
196,196,YUM,YUM BRANDS INC,65417,David W. Gibbs,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/20,,0,,0,CAUCASIAN/WHITE
197,197,AMGN,AMGEN INC,1602,Bob Bradway,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/13,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
198,198,TDY,TELEDYNE TECHNOLOGIES INC,126721,Robert Mehrabian,0,Middle Eastern,,1,M,0,1,0,0,0,,,11/15/18,,0,,0,CAUCASIAN/WHITE
199,199,HWM,HOWMET AEROSPACE INC,28192,John C. Plant,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/1/20,,0,,0,CAUCASIAN/WHITE
200,200,KHC,KRAFT HEINZ CO,5568,Miguel Patricio,0,Hispanic/Latino,,1,M,0,1,0,0,0,,,7/1/19,,0,,0,
201,201,PNC,PNC FINANCIAL SVCS GROUP INC,8245,William Demchak,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/22/14,2/20/24,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
202,202,PPG,PPG INDUSTRIES INC,8247,Michael McGarry,0,Caucasian/White,,0,M,0,1,0,0,0,,,9/1/16,1/1/23,0,Chairman/CEO,0,CAUCASIAN/WHITE
203,203,WAB,WABTEC CORP,60979,Rafael Santana,0,Hispanic/Latino,,1,M,0,1,0,0,0,,,7/1/19,,0,President/CEO,0,HISPANIC/LATIN AMERICAN
204,204,CTLT,CATALENT INC,20228,John Chiminski,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/13/19,7/1/22,0,Chairman/CEO,0,CAUCASIAN/WHITE
205,205,DXCM,DEXCOM INC,162887,Kevin Sayer,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/30/18,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
206,206,ILMN,ILLUMINA INC,138205,Francis DeSouza,0,Asian/Indian,,1,M,0,1,0,0,0,,,7/5/16,6/11/23,0,President/CEO,0,INDIAN/SOUTH ASIAN
207,207,O,REALTY INCOME CORP,30822,Sumit Roy,0,Asian/Indian,,1,M,0,1,0,0,0,,,10/16/18,,0,President/CEO,0,INDIAN/SOUTH ASIAN
208,208,QCOM,QUALCOMM INC,24800,Steve Mollenkopf,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/4/14,6/30/21,0,CEO,0,CAUCASIAN/WHITE
209,209,RMD,RESMED INC,31887,Mick Farrell,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/1/13,1/25/23,0,CEO,0,OTHER
210,210,SRE,SEMPRA ENERGY,8272,Jeffrey W. Martin,0,Caucasian/White,,0,M,0,1,0,0,0,,,,,0,,0,CAUCASIAN/WHITE
211,211,JNJ,JOHNSON & JOHNSON,6266,Alex Gorsky,0,Caucasian/White,,0,M,0,1,0,0,0,,,12/28/12,1/3/22,0,Chairman/CEO,0,CAUCASIAN/WHITE
212,212,CFG,CITIZENS FINANCIAL GROUP INC,21825,Bruce van Saun,0,Caucasian/White,,0,M,0,1,0,0,0,,,9/24/14,,0,Chairman/CEO,0,CAUCASIAN/WHITE
213,213,CVS,CVS HEALTH CORP,7241,Larry Merlo,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/1/11,2/1/21,0,President/CEO,0,CAUCASIAN/WHITE
214,214,HAS,HASBRO INC,5518,Brian Goldner,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/6/17,10/12/21,0,Chairman/CEO,0,CAUCASIAN/WHITE
215,215,TXT,TEXTRON INC,10519,Scott Donnelly,0,Caucasian/White,,0,M,0,1,0,0,0,,,9/1/10,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
216,216,DISH,DISH NETWORK CORP,60900,W. Erik Carlson,0,Caucasian/White,,0,M,0,1,0,0,0,,,12/5/17,,0,,0,CAUCASIAN/WHITE
217,217,HRL,HORMEL FOODS CORP,5709,Jim Snee,0,Caucasian/White,,0,M,0,1,0,0,0,,,11/20/17,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
218,218,DRI,DARDEN RESTAURANTS INC,31846,Gene Lee Jr,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/22/15,5/1/22,1,President/CEO,0,CAUCASIAN/WHITE
219,219,ABBV,ABBVIE INC,16101,Rick Gonzalez,0,Hispanic/Latino,,1,M,0,1,0,0,0,,,1/2/13,,0,Chairman/CEO,0,HISPANIC/LATIN AMERICAN
220,220,ABT,ABBOTT LABORATORIES,1078,Robert B. Ford,0,Caucasian/White,,0,M,0,1,0,0,1,3/31/20,incoming,3/31/20,,0,,0,
221,221,BAX,BAXTER INTERNATIONAL INC,2086,Joe Almeida,0,Hispanic/Latino,,1,M,0,1,0,0,0,,,1/1/16,,0,Chairman/President/CEO,0,HISPANIC/LATIN AMERICAN
222,222,CAT,CATERPILLAR INC,2817,Jim Umpleby III,0,Caucasian/White,,0,M,0,1,0,0,0,,,12/12/18,,0,Chairman/CEO,0,CAUCASIAN/WHITE
223,223,CDW,CDW CORP,28320,Chris Leahy,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/19,1/5/23,0,President/CEO,0,CAUCASIAN/WHITE
224,224,CF,CF INDUSTRIES HOLDINGS INC,163946,Tony Will,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/2/14,,0,President/CEO,0,CAUCASIAN/WHITE
225,225,DFS,DISCOVER FINANCIAL SVCS,177376,Roger Hochschild,0,Caucasian/White,,0,M,0,1,0,0,0,,,10/1/18,8/14/23,0,President/CEO,0,CAUCASIAN/WHITE
226,226,FBHS,FORTUNE BRANDS HOME & SECUR,188255,Nicholas Fink,0,Caucasian/White,,0,M,0,1,0,0,1,1/6/20,incoming,1/6/20,,0,,0,CAUCASIAN/WHITE
227,227,GWW,GRAINGER (W W) INC,5256,DG Macpherson,0,Caucasian/White,,0,M,0,1,0,0,0,,,10/1/17,,0,Chairman/CEO,0,CAUCASIAN/WHITE
228,228,PKG,PACKAGING CORP OF AMERICA,128978,Mark Kowlzan,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/16,,0,Chairman/CEO,0,CAUCASIAN/WHITE
229,229,WBA,WALGREENS BOOTS ALLIANCE INC,11264,Stefano Pessina,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/9/15,3/15/21,1,Executive Vice Chairman/CEO,0,CAUCASIAN/WHITE
230,230,ZBRA,ZEBRA TECHNOLOGIES CP -CL A,24405,Anders Gustafsson,0,Caucasian/White,,0,M,0,1,0,0,0,,,9/4/07,3/1/23,0,CEO,0,CAUCASIAN/WHITE
231,231,ABC,AMERISOURCEBERGEN CORP,31673,Steven H. Collis,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/1/11,,0,,0,CAUCASIAN/WHITE
232,232,UHS,UNIVERSAL HEALTH SVCS INC,11032,Alan Miller,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/20/09,1/1/21,0,Chairman/CEO,0,CAUCASIAN/WHITE
233,233,ABMD,ABIOMED INC,13619,Mike Minogue,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/15/05,12/22/22,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
234,234,BKNG,BOOKING HOLDINGS INC,119314,Glenn Fogel,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/26/19,,0,President/CEO/Division CEO,0,CAUCASIAN/WHITE
235,235,CHTR,CHARTER COMMUNICATIONS INC,126136,Tom Rutledge,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/26/16,11/30/22,0,Chairman/CEO,0,CAUCASIAN/WHITE
236,236,IT,GARTNER INC,12441,Gene Hall,0,Caucasian/White,,0,M,0,1,0,0,0,,,8/3/04,,0,CEO,0,CAUCASIAN/WHITE
237,237,PBCT,PEOPLE'S UNITED FINL INC,16245,Jack Barnes,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/26/18,4/4/22,0,Chairman/CEO,0,CAUCASIAN/WHITE
238,238,SYF,SYNCHRONY FINANCIAL,20686,Margaret Keane,0,Caucasian/White,,0,F,1,1,0,0,0,,,5/2/19,4/1/21,0,CEO,0,CAUCASIAN/WHITE
239,239,URI,UNITED RENTALS INC,66065,Matt Flannery,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/8/19,,1,President/CEO,0,CAUCASIAN/WHITE
240,240,WRB,BERKLEY (W R) CORP,14822,W. Robert Berkley Jr.,0,Caucasian/White,,0,M,0,1,0,0,1,1/20/20,incoming,10/31/15,,0,,0,CAUCASIAN/WHITE
241,241,XRX,XEROX HOLDINGS CORP,11636,John Visentin,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/14/18,6/28/22,1,Vice Chairman/CEO,0,CAUCASIAN/WHITE
242,242,CI,CIGNA CORP,2547,David Cordani,0,Caucasian/White,,0,M,0,1,0,0,0,,,12/25/09,1/1/22,1,President/CEO,0,CAUCASIAN/WHITE
243,243,HIG,HARTFORD FINANCIAL SERVICES,61739,Chris Swift,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/5/15,,0,Chairman/CEO,0,CAUCASIAN/WHITE
244,244,OTIS,OTIS WORLDWIDE CORP,36190,Judy Marks,0,Caucasian/White,,0,F,1,1,0,0,0,,,4/3/20,,0,,0,CAUCASIAN/WHITE
245,245,SWK,STANLEY BLACK & DECKER INC,10016,Jim Loree,0,Caucasian/White,,0,M,0,1,0,0,0,,,8/1/16,2/23/21,0,President/CEO,0,CAUCASIAN/WHITE
246,246,CTVA,CORTEVA INC,35168,Jim Collins Jr,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/3/19,11/1/21,0,CEO,0,CAUCASIAN/WHITE
247,247,DRE,DUKE REALTY CORP,13510,Jim Connor,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/26/17,10/3/22,0,Chairman/CEO,0,CAUCASIAN/WHITE
248,248,ELV,ELEVANCE HEALTH INC,145046,Gail Boudreaux,0,Caucasian/White,,0,F,1,1,0,0,0,,,11/20/17,,0,President/CEO,0,CAUCASIAN/WHITE
249,249,LLY,LILLY (ELI) & CO,6730,David Ricks,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/1/17,,1,Chair/President/CEO,1,CAUCASIAN/WHITE
250,250,SPG,SIMON PROPERTY GROUP INC,29389,David Simon,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/15/19,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
251,251,AZO,AUTOZONE INC,23809,Bill Rhodes III,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/6/07,1/2/24,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
252,252,FDX,FEDEX CORP,4598,Fred Smith,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/1/17,5/31/22,0,Chairman/CEO,0,CAUCASIAN/WHITE
253,253,IP,INTL PAPER CO,6104,Mark Sutton,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/15,,0,Chairman/CEO,0,CAUCASIAN/WHITE
254,254,MAA,MID-AMERICA APT CMNTYS INC,29649,H Bolton Jr,0,Caucasian/White,,0,M,0,1,0,0,0,,,10/1/02,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
255,255,DG,DOLLAR GENERAL CORP,4016,Todd Vasos,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/3/15,11/1/22,0,CEO,0,CAUCASIAN/WHITE
256,256,HCA,HCA HEALTHCARE INC,22260,Sam Hazen,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/19,,0,CEO,0,CAUCASIAN/WHITE
257,257,CTXS,CITRIX SYSTEMS INC,61676,David J. Henshall,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/17/24,10/21/24,0,,0,CAUCASIAN/WHITE
258,258,KMX,CARMAX INC,64410,Bill Nash,0,Caucasian/White,,0,M,0,1,0,0,0,,,9/1/16,,0,President/CEO,0,CAUCASIAN/WHITE
259,259,AEP,AMERICAN ELECTRIC POWER CO,1440,Nick Akins,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/14,8/10/22,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
260,260,BBWI,BATH & BODY WORKS INC,6733,Andrew Meslow,0,Caucasian/White,,0,M,0,1,0,0,0,5/14/20,incoming,5/14/20,,0,CEO,0,CAUCASIAN/WHITE
261,261,CAH,CARDINAL HEALTH INC,2751,Mike Kaufmann,0,Caucasian/White,,0,M,0,1,0,0,0,,,9/1/19,9/1/22,0,CEO,0,CAUCASIAN/WHITE
262,262,HBAN,HUNTINGTON BANCSHARES,5786,Steve Steinour,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/14/09,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
263,263,ATO,ATMOS ENERGY CORP,4383,John Akers,0,Caucasian/White,,0,M,0,1,0,0,0,,,10/1/19,,0,President/CEO,0,CAUCASIAN/WHITE
264,264,CBRE,CBRE GROUP INC,260774,Bob Sulentic,0,Caucasian/White,,0,M,0,1,0,0,0,,,12/1/12,11/17/23,0,President/CEO,0,CAUCASIAN/WHITE
265,265,CE,CELANESE CORP,162254,Lori J. Ryerkerk,0,Caucasian/White,,0,F,1,1,0,0,0,,,5/1/19,,0,,0,CAUCASIAN/WHITE
266,266,CMA,COMERICA INC,3231,Curtis C. Farmer,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/19/24,,0,,0,CAUCASIAN/WHITE
267,267,CPRT,COPART INC,29901,Jay Adair,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/12/10,4/1/22,0,CEO,0,CAUCASIAN/WHITE
268,268,FLS,FLOWSERVE CORP,4108,Robert Rowe,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/1/17,,0,President/CEO,0,CAUCASIAN/WHITE
269,269,INVH,INVITATION HOMES INC,30004,Dallas Tanner,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/16/19,3/1/23,0,President/CEO,0,CAUCASIAN/WHITE
270,270,J,JACOBS ENGINEERING GROUP INC,6216,Steve Demetriou,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/28/16,1/24/23,0,Chairman/CEO,0,CAUCASIAN/WHITE
271,271,KMB,KIMBERLY-CLARK CORP,6435,Michael D. Hsu,0,Asian/Taiwanese,,1,M,0,1,0,0,0,,,1/1/19,,0,,0,ASIAN (EXCLUDE INDIAN/SOUTH ASIAN)
272,272,LUV,SOUTHWEST AIRLINES,9882,Gary Kelly,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/10/17,2/1/22,0,Chairman/CEO,0,CAUCASIAN/WHITE
273,273,MCK,MCKESSON CORP,7171,Doctor Brian Tyler,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/1/19,,0,CEO,0,CAUCASIAN/WHITE
274,274,MTCH,MATCH GROUP INC,26061,Joey Levin,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/24/15,6/30/20,0,CEO,0,INDIAN/SOUTH ASIAN
275,275,PXD,PIONEER NATURAL RESOURCES CO,14359,Scott Sheffield,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/21/19,1/1/21,0,President/CEO,0,CAUCASIAN/WHITE
