1+2num,CompanyID,1num,tic,1conm_x,3CompanyName,gvkey,1ceo_minority,1ethnicity (from boardex),1ceo_name,3DirectorName,3FirstName,3LastName,1ceo_race(black),3RoleType,3RoleName,3Seniority,2020_Active_May26_Dec31,3DateStartRole,3DateEndRole,2020_CEO_Change,2020_2CEOs,X3num,X3CompanyID,X3DirectorID
226,224,199,HWM,HOWMET AEROSPACE INC,NA,28192,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
227,225,289,IBM,INTL BUSINESS MACHINES CORP,NA,6066,1,INDIAN/SOUTH ASIAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
230,228,385,IEX,IDEX CORP,NA,15267,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
257,255,200,KHC,KRAFT HEINZ CO,NA,5568,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
260,258,271,KMB,KIMBERLY-CLARK CORP,NA,6435,1,ASIAN (EXCLUDE INDIAN/SOUTH ASIAN),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
268,266,76,LEG,LEGGETT & PLATT INC,NA,6649,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
285,283,290,MA,MASTERCARD INC,NA,160225,1,INDIAN/SOUTH ASIAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
303,301,67,MO,ALTRIA GROUP INC,NA,8543,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
324,322,279,NKE,NIKE INC -CL B,NA,7906,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
325,323,39,NLOK,NORTONLIFELOCK INC,NA,15855,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
334,332,32,NUE,NUCOR CORP,NA,8030,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
345,343,93,ORLY,O'REILLY AUTOMOTIVE INC,NA,28180,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
346,344,244,OTIS,OTIS WORLDWIDE CORP,NA,36190,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
354,352,422,PEAK,HEALTHPEAK PROPERTIES INC,NA,13125,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
357,355,476,PFE,PFIZER INC,NA,8530,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
397,394,321,RTN,RAYTHEON CO,NA,8972,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
398,395,322,RTX,RAYTHEON TECHNOLOGIES CORP,NA,10983,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
404,401,369,SIVB,SVB FINANCIAL GROUP,NA,17120,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
414,410,210,SRE,SEMPRA ENERGY,NA,8272,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
415,411,435,STT,STATE STREET CORP,NA,10035,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
421,417,164,SYY,SYSCO CORP,NA,10247,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
425,421,198,TDY,TELEDYNE TECHNOLOGIES INC,NA,126721,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
432,427,325,TMO,THERMO FISHER SCIENTIFIC INC,NA,10530,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
433,428,404,TMUS,T-MOBILE US INC,NA,17874,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
435,430,165,TRGP,TARGA RESOURCES CORP,NA,185532,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
436,431,371,TRMB,TRIMBLE INC,NA,22815,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
439,434,87,TSCO,TRACTOR SUPPLY CO,NA,29736,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
444,439,10,TWX,WarnerMedia,NA,164296,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
448,443,46,UAA,UNDER ARMOUR INC,NA,165052,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
463,458,190,VLO,VALERO ENERGY CORP,NA,15247,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
467,462,74,VRSN,VERISIGN INC,NA,66368,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
468,463,436,VRTX,VERTEX PHARMACEUTICALS INC,NA,24344,1,INDIAN/SOUTH ASIAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
470,465,91,VTRS,VIATRIS INC,NA,7637,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
473,468,179,WAT,WATERS CORP,NA,61574,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
475,470,373,WDC,WESTERN DIGITAL CORP,NA,11399,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
