"coid","tic","conm_x","gvkey","ceo_name","2First.x","2Last.x","ceo_ethnicity","ceo_race(black)","ceo_minority","ceo_gender","ceo_female","2020_active","2020_active_may26_dec31","2020_two_ceos","2020_co-ceo","2020_ceo_change","2020_ceo_change_date","2020_in_or_out","ethnicity_boardex","BE_from_bermiss","Actual_Bermiss_discrepancy","RoleType_boardex","RoleName_boardex","Interim_boardex","DateStartRole_boardex","DateEndRole_boardex","2First.y","2Last.y"
17,"AAP","ADVANCE AUTO PARTS INC",145977,"Tom Greco",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"8/14/16","9/11/23",NA,NA
349,"AMD","ADVANCED MICRO DEVICES",1161,"Doctor Lisa Su",NA,NA,"Asian/Taiwanese",0,1,"F",1,1,1,0,0,0,NA,NA,"ASIAN (EXCLUDE INDIAN/SOUTH ASIAN)",NA,0,"CEO","President/CEO",0,"10/8/14","2/14/22",NA,NA
77,"AES","AES CORP (THE)",24216,"Doctor Andres Gluski Weilert",NA,NA,"Hispanic/Latino",0,1,"M",0,1,1,0,0,0,NA,NA,"HISPANIC/LATIN AMERICAN",NA,0,"CEO","President/CEO",0,"9/30/11",NA,NA,NA
16,"AFL","AFLAC INC",1449,"Daniel P. Amos",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,NA,NA,0,"CEO",NA,0,"6/12/05",NA,NA,NA
345,"A","AGILENT TECHNOLOGIES INC",126554,"Mike McMullen",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"3/18/15",NA,NA,NA
124,"APD","AIR PRODUCTS & CHEMICALS INC",1209,"Seifi Ghasemi",NA,NA,"Middle Eastern/Iranian",0,1,"M",0,1,1,0,0,0,NA,NA,"MIDDLE-EASTERN/NORTH AFRICAN",NA,0,"CEO","Chairman/President/CEO",0,"7/1/14",NA,NA,NA
313,"AKAM","AKAMAI TECHNOLOGIES INC",125595,"Doctor Tom Leighton",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"1/1/13",NA,NA,NA
395,"ALK","ALASKA AIR GROUP INC",1230,"Brad Tilden",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"1/1/14","3/31/21",NA,NA
67,"MO","ALTRIA GROUP INC",8543,"William F. Gifford Jr.",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,1,"20-Apr","incoming","CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"4/16/20",NA,NA,NA
431,"AMT","AMERICAN TOWER CORP",105365,"James D. Taiclet Jr.",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,1,"20-Jun","outgoing","CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"6/25/05","6/14/20",NA,NA
326,"ARE","ALEXANDRIA R E EQUITIES INC",64821,"Peter Moglia",NA,NA,"Caucasian/White",0,0,"M",0,1,1,1,1,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CIO/Co-CEO",0,"4/1/18",NA,NA,NA
326,"ARE","ALEXANDRIA R E EQUITIES INC",64821,"Peter Moglia",NA,NA,"Caucasian/White",0,0,"M",0,1,1,1,1,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CIO/Co-CEO",0,"4/1/18",NA,NA,NA
326,"ARE","ALEXANDRIA R E EQUITIES INC",64821,"Stephen Richardson",NA,NA,"Caucasian/White",0,0,"M",0,1,1,1,1,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Co-CEO",0,"4/1/18","7/1/22",NA,NA
326,"ARE","ALEXANDRIA R E EQUITIES INC",64821,"Stephen Richardson",NA,NA,"Caucasian/White",0,0,"M",0,1,1,1,1,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Co-CEO",0,"4/1/18","7/1/22",NA,NA
