2num,2first,last,2Company,2AnnDate,gvkey,2permno,2ExecType,2BE,2Confounded,2Interim,2Female,2DirectorName,2Gender
154,David,Kyle,Oneok Inc,8/29/00,8151,25232,CEO,0,0,0,0,David Kyle,M
155,Sheila,Harrington,Urban Out_tters,10/14/20,29150,79881,CEO,0,1,0,1,Sheila Harrington,F
156,Roger,King,Cbs,1/19/00,13714,75104,CEO,0,0,0,0,Roger King,M
157,Brian,Anderson,Of_ceMax,11/11/04,2290,42024,TMT,1,0,,0,Brian Anderson,M
158,Craig,Arnold,Eaton,1/28/09,4199,11762,TMT,1,1,,0,Craig Arnold,M
159,Wendel,Barr,Covance,12/19/07,64162,84364,TMT,1,1,,0,Wendel Barr,M
160,James,Bell,Boeing,1/6/04,2285,19561,TMT,1,0,,0,James Bell,M
161,Marc,Belton,General Mills,5/3/05,5071,17144,TMT,1,1,,0,Marc Belton,M
162,Marc,Belton,General Mills,5/4/06,5071,17144,TMT,1,1,,0,Marc Belton,M
163,Alicia,Boler Davis,General Motors,6/9/16,5073,12369,TMT,1,1,,1,Alicia Boler Davis,F
164,Audrey,Boone Tillman,A_ac,5/5/14,1449,57904,TMT,1,1,,1,Audrey Boone Tillman,F
165,Donald,Brown,NiSource,3/24/15,7974,38762,TMT,1,1,,0,Donald Brown,M
166,Marcus,Brown,Entergy,1/31/12,7366,24010,TMT,1,1,,0,Marcus Brown,M
167,Harvey,Brownlee,Bob Evans Farms,1/21/09,2282,18570,TMT,1,1,,0,Harvey Brownlee,M
168,Glynis,Bryan,Insight Enterprises,11/19/07,31453,81220,TMT,1,0,,1,Glynis Bryan,F
169,Ursula,Burns,Xerox,4/3/07,11636,27983,TMT,1,0,,1,Ursula Burns,F
170,Eric,Butler,Union Paci_c,11/17/16,10867,48725,TMT,1,1,,0,Eric Butler,M
171,Eric,Butler,Union Paci_c,3/15/12,10867,48725,TMT,1,1,,0,Eric Butler,M
172,Ann-Marie,Campbell,Home Depot,1/19/16,5680,66181,TMT,1,0,,1,Ann-Marie Campbell,F
173,Angelique,Carbo,Selective Insurance Group,3/3/16,17115,68292,TMT,1,1,,1,Angelique Carbo,F
174,Edward,Chaplin,MBIA,5/30/06,13561,75175,TMT,1,1,,0,Edward Chaplin,M
175,Frank,Clark,Exelon,10/2/01,8539,21776,TMT,1,1,,0,Frank Clark,M
176,Alexander,Cummings,Coca-Cola,7/17/08,3144,11308,TMT,1,1,,0,Alexander Cummings,M
177,Jeffrey,Davis,J.C. Penney,7/25/17,8446,18403,TMT,1,0,,0,Jeffrey Davis,M
178,Martin,Davis,Wachovia,2/10/03,4739,36469,TMT,1,0,,0,Martin Davis,M
179,Willie,Deese,Merck,5/25/05,7257,22752,TMT,1,0,,0,Willie Deese,M
180,Jerri,DeVard,Of_ce Depot,9/14/17,14624,75573,TMT,1,0,,1,Jerri DeVard,F
181,Verona,Dorch,Peabody Energy,8/4/15,142460,88991,TMT,1,0,,1,Verona Dorch,F
182,Troy,Ellis,Domino's Pizza,6/30/15,160211,90248,TMT,1,1,,0,Troy Ellis,M
183,Marvin,Ellison,Home Depot,8/25/08,5680,66181,TMT,1,1,,0,Marvin Ellison,M
184,Forest,Farmer,Chrysler,8/30/88,3022,11260,TMT,1,1,,0,Forest Farmer,M
185,Rhonda,Ferguson,Union Paci_c,6/7/16,10867,48725,TMT,1,0,,1,Rhonda Ferguson,F
186,Darrell,Ford,Xerox,11/2/15,11636,27983,TMT,1,0,,0,Darrell Ford,M
187,Kenneth,Frazier,Merck,7/27/07,7257,22752,TMT,1,1,,0,Kenneth Frazier,M
188,Linda,Gooden,Lockheed Martin,12/7/06,6774,21178,TMT,1,1,,1,Linda Gooden,F
189,Kim,Goodman,American Express,7/12/07,1447,59176,TMT,1,0,,1,Kim Goodman,F
190,Mirian,Graddick,AT&T,2/12/99,9899,66093,TMT,1,1,,1,Mirian Graddick,F
191,Sylvester,Green,Chubb & Son,9/16/98,3024,59192,TMT,1,0,,0,Sylvester Green,M
192,Kimberley,Harris,Comcast,7/16/13,3226,89565,TMT,1,1,,1,Kimberley Harris,F
193,Paul,Harris,KeyCorp,2/3/03,9783,64995,TMT,1,1,,0,Paul Harris,M
194,Rejji,Hayes,CMS Energy,5/1/17,3439,23229,TMT,1,1,,0,Rejji Hayes,M
195,Bridgette,Heller,Merck,2/16/10,7257,22752,TMT,1,1,,1,Bridgette Heller,F
196,Dennis,Hightower,Walt Disney,9/24/90,3980,26403,TMT,1,1,,0,Dennis Hightower,M
197,Yvette,Hollingsworth Clark,Wells Fargo,5/14/12,8007,38703,TMT,1,0,,1,Yvette Hollingsworth Clark,F
198,Phillip,Holloman,Cintas,1/19/08,3062,23660,TMT,1,0,,0,Phillip Holloman,M
199,Duane,Holloway,Ascena Retail Group,1/18/16,4072,30737,TMT,1,0,,0,Duane Holloway,M
200,Jamere,Jackson,Nielsen Holdings plc,2/24/14,100873,12542,TMT,1,1,,0,Jamere Jackson,M
201,John,Jacob,Anheuser-Busch,6/6/94,1663,59184,TMT,1,0,,0,John Jacob,M
202,Lisa,Jeffries Caldwell,Reynolds American,5/21/08,120877,86946,TMT,1,1,,1,Lisa Jeffries Caldwell,F
203,Joia,Johnson,Hanesbrands,1/11/07,175319,91416,TMT,1,0,,1,Joia Johnson,F
204,Nicole,Jones,Cigna,5/25/10,2547,64186,TMT,1,0,,1,Nicole Jones,F
205,Michelle,Lee,Wells Fargo,10/16/14,8007,38703,TMT,1,1,,1,Michelle Lee,F
206,Clinton,Lewis,Zoetis,5/7/15,13721,13788,TMT,1,1,,0,Clinton Lewis,M
207,Freda,Lewis-Hall,P_zer,5/4/09,8530,21936,TMT,1,0,,1,Freda Lewis-Hall,F
208,Mark,Mason,Citigroup,9/7/06,3243,70519,TMT,1,1,,0,Mark Mason,M
209,George,Mayes,Diebold,4/27/06,3946,40440,TMT,1,1,,0,George Mayes,M
210,Antoinette,McCorvey,Eastman Kodak,10/12/10,4194,11754,TMT,1,1,,1,Antoinette McCorvey,F
211,Lawrence,McRae,Corning,10/7/10,3532,22293,TMT,1,1,,0,Lawrence McRae,M
212,Raymond,Mines,McDonald's,9/28/98,7154,43449,TMT,1,0,,0,Raymond Mines,M
213,Harold,Morrison,Chubb,6/19/08,3024,59192,TMT,1,1,,0,Harold Morrison,M
214,Harold,Morrison,Chubb,10/21/10,3024,59192,TMT,1,1,,0,Harold Morrison,M
215,Vanessa,Morrison,20th Century Fox,10/30/17,12886,90441,TMT,1,0,,1,Vanessa Morrison,F
216,Richard,Nanula,Walt Disney,8/29/91,3980,26403,TMT,1,1,,0,Richard Nanula,M
217,George,Neale,Selective Insurance Group,5/12/15,17115,68292,TMT,1,1,,0,George Neale,M
218,Momar,Nguer,Total S.A.,3/18/16,24625,77078,TMT,1,1,,0,Momar Nguer,M
219,Stanley,O'Neal,Merrill Lynch,2/4/98,7267,52919,TMT,1,1,,0,Stanley O¡¯Neal,M
220,Vicki,Palmer,Coca-Cola,1/13/04,3144,11308,TMT,1,1,,1,Vicki Palmer,F
221,Herbert,Parker,Harman International,5/7/08,12788,75224,TMT,1,1,,0,Herbert Parker,M
222,Herbert,Parker,Harman International,5/6/08,12788,75224,TMT,1,1,,0,Herbert Parker,M
223,Richard,Parsons,Time Warner,10/31/94,10576,40483,TMT,1,0,,0,Richard Parsons,M
224,Angelia,Pelham,Cinemark Holdings,1/15/16,177108,91915,TMT,1,0,,1,Angelia Pelham,F
225,Charles,Phillips,Oracle,1/13/04,12142,10104,TMT,1,1,,0,Charles Phillips,M
226,William,Plummer,United Rentals,11/24/08,66065,85663,TMT,1,1,,0,William Plummer,M
227,Barry,Rand,Xerox,2/4/92,11636,27983,TMT,1,1,,0,Barry Rand,M
228,Derica,Rice,Eli Lilly,12/18/09,6730,50876,TMT,1,0,,0,Derica Rice,M
229,Derica,Rice,Eli Lilly,2/23/06,6730,50876,TMT,1,1,,0,Derica Rice,M
