coid,tic,conm_x,gvkey,ceo_name,ceo_ethnicity,ceo_race(black),ceo_minority,ceo_gender,ceo_female,2020_active,2020_active_may26_dec31,2020_two_ceos,2020_co-ceo,2020_ceo_change,2020_ceo_change_date,2020_in_or_out,ethnicity_boardex,BE_from_bermiss,Actual_Bermiss_discrepancy,RoleType_boardex,RoleName_boardex,Interim_boardex,DateStartRole_boardex,DateEndRole_boardex,,,,,
94,CMS,CMS ENERGY CORP,3439,Garrick Rochow,Caucasian/White,0,0,M,1,1,1,1,0,1,12/1/20,outgoing,CAUCASIAN/WHITE,1,0,CEO,President/CEO,0,7/1/16,12/1/20,,,,,
92,FISV,FISERV INC,12635,Jeffrey W. Yabuki,Caucasian/White,0,0,M,0,1,1,1,0,1,7/1/20,outgoing,,,0,CEO,President/CEO,0,,,,,,,
92,FISV,FISERV INC,12635,Frank Bisignano,Caucasian/White,0,0,M,0,1,1,1,0,1,7/1/20,incoming,,,0,CEO,Chairman/CEO,0,5/1/12,7/1/20,,,,,
27,ALB,ALBEMARLE CORP,29751,J. Kent Masters,Caucasian/White,0,0,M,0,1,1,0,0,1,Jun-20,incoming,CAUCASIAN/WHITE,,0,CEO,,0,6/17/20,,,,,,
27,ALB,ALBEMARLE CORP,29751,Luther C. Kissam IV,Caucasian/White,0,0,M,0,1,1,0,0,1,Jun-20,outgoing,,,0,CEO,,0,7/3/05,6/17/20,,,,,
482,TPR,TAPESTRY INC,140541,Jide Zeitlin,African American/Black,1,1,M,0,1,0,1,0,1,7/1/20,outgoing,,,0,CEO,CEO,1,,,,,,,
482,TPR,TAPESTRY INC,140541,Joanne Crevoiserat,Caucasian/White,1,1,F,0,1,1,1,0,1,7/1/20,incoming,,1,0,CEO,Chairman/CEO,0,9/4/19,7/20/20,,,,,
67,MO,ALTRIA GROUP INC,8543,Howard A. Willard III,Caucasian/White,0,0,M,0,1,1,0,0,1,Apr-20,outgoing,CAUCASIAN/WHITE,,0,CEO,,0,5/17/18,4/16/20,,,,,
428,PCG,PG&E CORP,8264,Bill Johnson,Caucasian/White,0,0,M,0,1,1,1,0,1,Apr-20,outgoing,,,0,CEO,CEO,0,6/21/19,6/30/20,,,,,
334,MMM,3M CO,7435,Mike Roman,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,Chairman/President/CEO,0,6/1/19,,,,,,
220,ABT,ABBOTT LABORATORIES,1078,Miles D. White,Caucasian/White,0,0,M,0,1,1,0,0,1,3/31/20,outgoing,,,0,CEO,,0,6/21/05,3/31/20,,,,,
220,ABT,ABBOTT LABORATORIES,1078,Robert B. Ford,Caucasian/White,0,0,M,0,1,1,0,0,1,3/31/20,incoming,,,0,CEO,,0,3/31/20,,,,,,
219,ABBV,ABBVIE INC,16101,Rick Gonzalez,Hispanic/Latino,0,1,M,0,1,1,0,0,0,,,HISPANIC/LATIN AMERICAN,,0,CEO,Chairman/CEO,0,1/2/13,,,,,,
233,ABMD,ABIOMED INC,13619,Mike Minogue,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,Chairman/President/CEO,0,6/15/05,12/22/22,,,,,
327,ATVI,ACTIVISION BLIZZARD INC,180405,Bobby Kotick,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,CEO,0,6/26/17,10/13/23,,,,,
347,ADBE,ADOBE INC,12540,Shantanu Narayen,Asian/Indian,0,1,M,0,1,1,0,0,0,,,INDIAN/SOUTH ASIAN,,0,CEO,Chairman/President/CEO,0,1/27/17,1/13/22,,,,,
17,AAP,ADVANCE AUTO PARTS INC,145977,Tom Greco,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,President/CEO,0,8/14/16,9/11/23,,,,,
349,AMD,ADVANCED MICRO DEVICES,1161,Doctor Lisa Su,Asian/Taiwanese,0,1,F,1,1,1,0,0,0,,,ASIAN (EXCLUDE INDIAN/SOUTH ASIAN),,0,CEO,President/CEO,0,10/8/14,2/14/22,,,,,
77,AES,AES CORP (THE),24216,Doctor Andres Gluski Weilert,Hispanic/Latino,0,1,M,0,1,1,0,0,0,,,HISPANIC/LATIN AMERICAN,,0,CEO,President/CEO,0,9/30/11,,,,,,
16,AFL,AFLAC INC,1449,Daniel P. Amos,Caucasian/White,0,0,M,0,1,1,0,0,0,,,,,0,CEO,,0,6/12/05,,,,,,
345,A,AGILENT TECHNOLOGIES INC,126554,Mike McMullen,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,President/CEO,0,3/18/15,,,,,,
124,APD,AIR PRODUCTS & CHEMICALS INC,1209,Seifi Ghasemi,Middle Eastern/Iranian,0,1,M,0,1,1,0,0,0,,,MIDDLE-EASTERN/NORTH AFRICAN,,0,CEO,Chairman/President/CEO,0,7/1/14,,,,,,
313,AKAM,AKAMAI TECHNOLOGIES INC,125595,Doctor Tom Leighton,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,CEO,0,1/1/13,,,,,,
395,ALK,ALASKA AIR GROUP INC,1230,Brad Tilden,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,Chairman/President/CEO,0,1/1/14,3/31/21,,,,,
