coid,tic,1conm_x,2Company,3CompanyName,gvkey,1ceo_minority,1ethnicity (from boardex),ceo_name,2DirectorName,2First,2Last,3FirstName,3LastName,1ceo_race(black),2BE,3RoleType,3RoleName,3Seniority,2020_Active,2020_Active_May26_Dec31,2020_CEO_Change,2020_2CEOs,2Female,2Gender,2AnnDate,2EndDate,3DateStartRole,3DateEndRole,X3num,X3CompanyID,X3DirectorID,2num,2permno,2Confounded,2Interim
23,MAR,MARRIOTT INTL INC,NA,MARRIOTT INTERNATIONAL INC,28930,0,CAUCASIAN/WHITE,Arne Sorenson,,,,Arne,Sorenson,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,3/31/12,2/15/21,297,19706,38571,NA,NA,NA,NA
24,DVN,DEVON ENERGY CORP,NA,DEVON ENERGY CORP,14934,0,CAUCASIAN/WHITE,Dave Hager,,,,Dave,Hager,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,6/8/16,1/7/21,140,9103,62347,NA,NA,NA,NA
25,PAYC,PAYCOM SOFTWARE INC,NA,PAYCOM SOFTWARE INC,20116,0,CAUCASIAN/WHITE,Chad Richison,,,,Chad,Richison,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,8/1/16,2/7/24,369,2061294,1388163,NA,NA,NA,NA
26,EMN,EASTMAN CHEMICAL CO,NA,EASTMAN CHEMICAL CO,29392,0,CAUCASIAN/WHITE,Mark Costa,,,,Mark,Costa,NA,NA,CEO,Chair/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,6/30/14,NA,155,9940,534777,NA,NA,NA,NA
27,ALB,ALBEMARLE CORP,NA,NA,29751,0,CAUCASIAN/WHITE,NA,,,,NA,NA,NA,NA,CEO,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,BAC,BANK OF AMERICA CORP,NA,BANK OF AMERICA CORP,7647,0,CAUCASIAN/WHITE,Brian Moynihan,,,,Brian,Moynihan,NA,NA,CEO,Chair/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,10/1/14,NA,44,4504,35043,NA,NA,NA,NA
29,DUK,DUKE ENERGY CORP,NA,DUKE ENERGY CORP,4093,0,CAUCASIAN/WHITE,Lynn Good,,,,Lynn,Good,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,1/1/16,NA,138,867887,204347,NA,NA,NA,NA
30,HON,HONEYWELL INTERNATIONAL INC,NA,HONEYWELL INTERNATIONAL INC (AlliedSignal Inc prior to 01/2000),1300,0,CAUCASIAN/WHITE,Darius Adamczyk,,,,Darius,Adamczyk,NA,NA,CEO,Chairman/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,4/23/18,6/1/23,221,15029,1205682,NA,NA,NA,NA
31,IR,INGERSOLL RAND INC,NA,INGERSOLL RAND INC (Gardner Denver Holdings Inc prior to 03/2020),30098,0,CAUCASIAN/WHITE,Vicente Reynal,,,,Vicente,Reynal,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,5/12/17,11/9/21,247,2656398,1912562,NA,NA,NA,NA
32,NUE,NUCOR CORP,NA,NA,8030,0,CAUCASIAN/WHITE,NA,,,,NA,NA,NA,NA,CEO,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,SEE,SEALED AIR CORP,NA,SEALED AIR CORP,9555,0,CAUCASIAN/WHITE,Ted Doheny II,,,,Ted,Doheny II,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,1/1/18,10/23/23,432,27418,516421,NA,NA,NA,NA
34,TFC,TRUIST FINANCIAL CORP,NA,TRUIST FINANCIAL CORP (BB&T Corp prior to 12/2019),11856,0,CAUCASIAN/WHITE,Kelly King,,,,Kelly,King,NA,NA,CEO,Chairman/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,12/20/16,9/12/21,456,3718,39271,NA,NA,NA,NA
35,XRAY,DENTSPLY SIRONA INC,NA,DENTSPLY SIRONA INC (DENTSPLY International Inc prior to 02/2016),13700,0,CAUCASIAN/WHITE,Don Casey Jr,,,,Don,Casey Jr,NA,NA,CEO,CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,2/12/18,4/19/22,515,9023,590656,NA,NA,NA,NA
36,ALGN,ALIGN TECHNOLOGY INC,NA,ALIGN TECHNOLOGY INC,141384,0,CAUCASIAN/WHITE,Joe Hogan,,,,Joe,Hogan,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,6/1/15,NA,20,1384,32461,NA,NA,NA,NA
37,FCX,FREEPORT-MCMORAN INC,NA,FREEPORT-MCMORAN INC (Freeport-McMoRan Copper & Gold Inc prior to 07/2014),14590,0,CAUCASIAN/WHITE,Richard Adkerson,,,,Richard,Adkerson,NA,NA,CEO,Vice Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,5/31/13,2/2/21,180,12493,206065,NA,NA,NA,NA
38,MCHP,MICROCHIP TECHNOLOGY INC,NA,MICROCHIP TECHNOLOGY INC,27965,1,INDIAN/SOUTH ASIAN,Steve Sanghi,,,,Steve,Sanghi,NA,NA,CEO,Chairman/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,2/3/16,3/1/21,300,20566,61502,NA,NA,NA,NA
39,NLOK,NORTONLIFELOCK INC,Symantec,NA,15855,0,CAUCASIAN/WHITE,John Thompson,,,,John,Thompson,NA,1,CEO,NA,NA,,NA,NA,NA,0,M,4/14/99,NA,NA,NA,NA,NA,NA,112,75607,0,0
40,ON,ON SEMICONDUCTOR CORP,NA,ON SEMICONDUCTOR CORP,134932,0,CAUCASIAN/WHITE,Keith Jackson,,,,Keith,Jackson,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,11/19/02,12/7/20,363,23134,200418,NA,NA,NA,NA
41,PNW,PINNACLE WEST CAPITAL CORP,NA,PINNACLE WEST CAPITAL CORP,1075,0,CAUCASIAN/WHITE,Jeff Guldner,,,,Jeff,Guldner,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,11/15/19,NA,391,24493,891832,NA,NA,NA,NA
42,RSG,REPUBLIC SERVICES INC,NA,REPUBLIC SERVICES INC,112168,0,CAUCASIAN/WHITE,Don Slager,,,,Don,Slager,NA,NA,CEO,CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,5/1/19,5/21/21,424,26097,205673,NA,NA,NA,NA
43,DLTR,DOLLAR TREE INC,NA,DOLLAR TREE INC,31587,0,CAUCASIAN/WHITE,Gary Philbin,,,,Gary,Philbin,NA,NA,CEO,CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,12/9/19,7/20/20,130,9474,452406,NA,NA,NA,NA
44,CEG,CONSTELLATION ENE CORP,NA,NA,40614,0,CAUCASIAN/WHITE,NA,,,,NA,NA,NA,NA,CEO,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,TROW,PRICE (T. ROWE) GROUP,T. Rowe Price Group,T ROWE PRICE GROUP INC,12138,0,CAUCASIAN/WHITE,William Stromberg,,,,William,Stromberg,NA,0,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,0,M,5/6/15,NA,4/25/19,2/11/21,462,25020,489855,100,10138,1,0
46,UAA,UNDER ARMOUR INC,NA,NA,165052,0,CAUCASIAN/WHITE,NA,,,,NA,NA,NA,NA,CEO,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,EXR,EXTRA SPACE STORAGE INC,NA,EXTRA SPACE STORAGE INC,160479,0,CAUCASIAN/WHITE,Joe Margolis,,,,Joe,Margolis,NA,NA,CEO,CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,5/18/17,NA,175,600874,375394,NA,NA,NA,NA
48,ZION,ZIONS BANCORPORATION NA,NA,ZIONS BANCORPORATION NA (Zions Bancorporation prior to 10/2018),11687,0,CAUCASIAN/WHITE,Harris Simmons,,,,Harris,Simmons,NA,NA,CEO,Chairman/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,3/4/14,NA,522,34139,57861,NA,NA,NA,NA
49,DAL,DELTA AIR LINES INC,NA,DELTA AIR LINES INC,3851,0,CAUCASIAN/WHITE,Ed Bastian,,,,Ed,Bastian,NA,NA,CEO,CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,5/2/16,NA,119,8946,333894,NA,NA,NA,NA
50,EFX,EQUIFAX INC,NA,EQUIFAX INC,4423,0,CAUCASIAN/WHITE,Mark Begor,,,,Mark,Begor,NA,NA,CEO,CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,4/16/18,NA,150,10896,202312,NA,NA,NA,NA
51,FLT,FLEETCOR TECHNOLOGIES INC,NA,FLEETCOR TECHNOLOGIES INC,184700,0,CAUCASIAN/WHITE,Ron Clarke,,,,Ron,Clarke,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,12/15/10,NA,188,1677118,1058760,NA,NA,NA,NA
52,GPN,GLOBAL PAYMENTS INC,NA,GLOBAL PAYMENTS INC,141913,0,CAUCASIAN/WHITE,Jeff Sloan,,,,Jeff,Sloan,NA,NA,CEO,CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,6/30/14,6/1/23,206,13417,1076347,NA,NA,NA,NA
53,ICE,INTERCONTINENTAL EXCHANGE,NA,INTERCONTINENTAL EXCHANGE INC (IntercontinentalExchange Group Inc prior to 05/2014),163610,0,CAUCASIAN/WHITE,Jeff Sprecher,,,,Jeff,Sprecher,NA,NA,CEO,Chairman/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,11/1/02,NA,231,815224,489174,NA,NA,NA,NA
54,IVZ,INVESCO LTD,NA,INVESCO LTD (Invesco PLC prior to 12/2007),29804,0,CAUCASIAN/WHITE,Marty Flanagan,,,,Marty,Flanagan,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,8/1/05,6/30/23,252,2129,36584,NA,NA,NA,NA
55,KO,COCA-COLA CO,NA,COCA-COLA CO,3144,0,CAUCASIAN/WHITE,James Quincey,,,,James,Quincey,NA,NA,CEO,Chairman/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,4/24/19,NA,270,7204,877797,NA,NA,NA,NA
56,NSC,NORFOLK SOUTHERN CORP,NA,NORFOLK SOUTHERN CORP,7923,0,CAUCASIAN/WHITE,Jim Squires,,,,Jim,Squires,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,10/1/15,12/1/21,346,22412,534106,NA,NA,NA,NA
57,NWL,NEWELL BRANDS INC,NA,NEWELL BRANDS INC (Newell Rubbermaid Inc prior to 04/2016),7875,1,INDIAN/SOUTH ASIAN,Ravi Saligram,,,,Ravi,Saligram,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,10/2/19,5/5/22,354,22048,447647,NA,NA,NA,NA
58,PHM,PULTEGROUP INC,NA,PULTEGROUP INC,8823,0,CAUCASIAN/WHITE,Ryan Marshall,,,,Ryan,Marshall,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,9/8/16,NA,383,25407,1308442,NA,NA,NA,NA
59,ROL,ROLLINS INC,NA,ROLLINS INC,9225,0,CAUCASIAN/WHITE,Gary Rollins,,,,Gary,Rollins,NA,NA,CEO,Vice Chairman/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,1/22/13,8/25/20,421,26519,141669,NA,NA,NA,NA
60,SO,SOUTHERN CO,Georgia Power,SOUTHERN CO,9850,0,CAUCASIAN/WHITE,Tom Fanning,Christopher Womack,Christopher,Womack,Tom,Fanning,NA,1,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,0,M,5/26/21,NA,12/1/10,3/31/23,440,28665,325858,90,18411,0,0
61,UPS,UNITED PARCEL SERVICE INC,United Parcel Service,UNITED PARCEL SERVICE (UPS) INC,10920,0,CAUCASIAN/WHITE,David Abney,Michael Eskew,Michael,Eskew,David,Abney,NA,0,CEO,Chairman/CEO,Executive Director,,1,NA,NA,0,M,8/16/01,NA,2/10/16,6/1/20,479,32137,41806,92,87447,0,0
62,WRK,WESTROCK CO,NA,WESTROCK CO,29830,0,CAUCASIAN/WHITE,Steve Voorhees,,,,Steve,Voorhees,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,7/1/15,3/15/21,507,2302775,325766,NA,NA,NA,NA
63,JKHY,HENRY (JACK) & ASSOCIATES,NA,JACK HENRY & ASSOCIATES INC,11811,0,CAUCASIAN/WHITE,Dave Foss,,,,Dave,Foss,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,7/1/17,7/1/21,255,14668,836736,NA,NA,NA,NA
64,IQV,IQVIA HOLDINGS INC,NA,IQVIA HOLDINGS INC (Quintiles IMS Holdings Inc prior to 11/2017),17928,0,CAUCASIAN/WHITE,Ari Bousbib,,,,Ari,Bousbib,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,10/3/16,NA,246,1951118,33049,NA,NA,NA,NA
65,DXC,DXC TECHNOLOGY CO,NA,DXC TECHNOLOGY CO (Computer Sciences Corp prior to 04/2017),3336,0,CAUCASIAN/WHITE,Mike Salvino,,,,Mike,Salvino,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,9/12/19,7/26/22,141,7584,205612,NA,NA,NA,NA
66,FANG,DIAMONDBACK ENERGY INC,NA,DIAMONDBACK ENERGY INC,170750,0,CAUCASIAN/WHITE,Travis Stice,,,,Travis,Stice,NA,NA,CEO,CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,1/1/17,2/22/22,178,1895607,1277021,NA,NA,NA,NA
67,MO,ALTRIA GROUP INC,NA,NA,8543,0,CAUCASIAN/WHITE,NA,,,,NA,NA,NA,NA,CEO,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,PFG,PRINCIPAL FINANCIAL GRP INC,NA,PRINCIPAL FINANCIAL GROUP INC,145701,0,CAUCASIAN/WHITE,Dan Houston,,,,Dan,Houston,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,5/17/16,NA,378,25087,333969,NA,NA,NA,NA
69,COF,CAPITAL ONE FINANCIAL CORP,NA,CAPITAL ONE FINANCIAL CORP,30990,0,CAUCASIAN/WHITE,Rich Fairbank,,,,Rich,Fairbank,NA,NA,CEO,Chairman/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,4/24/03,NA,95,5734,48786,NA,NA,NA,NA
70,GD,GENERAL DYNAMICS CORP,NA,GENERAL DYNAMICS CORP,5046,0,CAUCASIAN/WHITE,Phebe Novakovic,,,,Phebe,Novakovic,NA,NA,CEO,Chairman/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,1/1/13,NA,195,12984,45561,NA,NA,NA,NA
71,HLT,HILTON WORLDWIDE HOLDINGS,NA,HILTON WORLDWIDE HOLDINGS INC,5643,0,CAUCASIAN/WHITE,Chris Nassetta,,,,Chris,Nassetta,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,12/12/13,NA,218,2022926,180239,NA,NA,NA,NA
72,LDOS,LEIDOS HOLDINGS INC,NA,LEIDOS HOLDINGS INC (SAIC Inc prior to 09/2013),165123,0,CAUCASIAN/WHITE,Roger Krone,,,,Roger,Krone,NA,NA,CEO,Chairman/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,3/20/15,5/3/23,275,660090,881227,NA,NA,NA,NA
73,NOC,NORTHROP GRUMMAN CORP,NA,NORTHROP GRUMMAN CORP,7985,0,CAUCASIAN/WHITE,Kathy Warden,,,,Kathy,Warden,NA,NA,CEO,Chair/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,8/1/19,NA,342,22521,1255302,NA,NA,NA,NA
74,VRSN,VERISIGN INC,NA,NA,66368,0,CAUCASIAN/WHITE,NA,,,,NA,NA,NA,NA,CEO,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,ZBH,ZIMMER BIOMET HOLDINGS INC,NA,ZIMMER BIOMET HOLDINGS INC (Zimmer Holdings Inc prior to 06/2015),144559,0,CAUCASIAN/WHITE,Bryan Hanson,,,,Bryan,Hanson,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,12/19/17,5/14/21,520,34134,1119554,NA,NA,NA,NA
76,LEG,LEGGETT & PLATT INC,NA,NA,6649,0,CAUCASIAN/WHITE,NA,,,,NA,NA,NA,NA,CEO,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,AES,AES CORP (THE),NA,AES CORP,24216,1,HISPANIC/LATIN AMERICAN,Doctor Andres Gluski Weilert,,,,Andres,Weilert,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,9/30/11,NA,15,979,452889,NA,NA,NA,NA
78,AVB,AVALONBAY COMMUNITIES INC,NA,AVALONBAY COMMUNITIES INC,29875,0,CAUCASIAN/WHITE,Tim Naughton,,,,Tim,Naughton,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,5/22/13,2/1/21,39,3169,204883,NA,NA,NA,NA
79,POOL,POOL CORP,NA,POOL CORP (SCP Pool prior to 05/2006),61420,0,CAUCASIAN/WHITE,Pete Arvan,,,,Pete,Arvan,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,7/31/19,NA,393,27358,1351667,NA,NA,NA,NA
80,D,DOMINION ENERGY INC,NA,DOMINION ENERGY INC (Dominion Resources Inc (Virginia) prior to 05/2017),4029,0,CAUCASIAN/WHITE,Tom Farrell II,,,,Tom,Farrell II,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,4/27/07,10/1/20,118,9491,36934,NA,NA,NA,NA
81,MPC,MARATHON PETROLEUM CORP,NA,MADISON PACIFIC PROPERTIES INC,186989,0,CAUCASIAN/WHITE,Marvin Haasen,,,,Marvin,Haasen,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,11/1/12,7/17/23,318,1604377,2121957,NA,NA,NA,NA
82,SJM,SMUCKER (JM) CO,NA,J. M. SMUCKER CO (THE),9777,0,CAUCASIAN/WHITE,Mark Smucker,,,,Mark,Smucker,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,5/1/16,8/17/22,434,28325,548682,NA,NA,NA,NA
83,TFX,TELEFLEX INC,NA,TELEFLEX INC,10407,0,CAUCASIAN/WHITE,Liam Kelly,,,,Liam,Kelly,NA,NA,CEO,President/CEO,Executive Director,1,0,NA,NA,NA,NA,NA,NA,5/4/18,5/1/20,457,30265,1115309,NA,NA,NA,NA
84,CERN,CERNER CORP,NA,CERNER CORP (De-listed 06/2022),12850,0,PREFER NOT TO DISCLOSE,D Shafer,,,,D,Shafer,NA,NA,CEO,Chairman/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,2/1/18,10/1/21,77,6375,1370253,NA,NA,NA,NA
85,GLW,CORNING INC,NA,NA,3532,0,CAUCASIAN/WHITE,NA,,,,NA,NA,NA,NA,CEO,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
