2num,2first,last,2Company,2AnnDate,gvkey,2permno,2ExecType,2BE,2Confounded,2Interim,2Female,2DirectorName,2Gender
137,Laura,Francis,Si-BONE,1/7/21,34193,18212,CEO,0,0,0,1,Laura Francis,F
138,Rahsan-Rahsan,Lindsay,MediaCo Holding Inc,6/11/21,35583,19129,CEO,1,0,0,0,Rahsan-Rahsan Lindsay,M
139,Mark,Capone,Myriad Genetics,2/3/15,61399,82508,CEO,0,0,0,0,Mark Capone,M
140,Gene,Warren,ACT Teleconferencing,12/17/03,62649,83347,CEO,1,0,0,0,Gene Warren,M
141,Alan,Schnitzer,The Travelers Companies,8/4/15,62689,59459,CEO,0,0,0,0,Alan Schnitzer,M
142,Anthony,Coles,Onyx Pharmaceuticals Inc,2/26/08,62826,83541,CEO,1,0,0,0,Anthony Coles,M
143,Philip,Hadley,Factset Research Systems,9/5/00,63172,83597,CEO,0,0,0,0,Philip Hadley,M
144,Ursula,Burns,Veon Ltd,12/13/18,63987,93337,CEO,1,0,0,1,Ursula Burns,F
145,Eric,Kelly,Overland Storage Inc,1/28/09,64408,84555,CEO,1,0,0,0,Eric Kelly,M
146,Kevin,Wilson,Heska Corporpation,3/27/14,65011,85187,CEO,0,0,0,0,Kevin Wilson,M
147,Barry,Rand,Avis Rent A Car,11/9/99,65056,85331,CEO,1,0,0,0,Barry Rand,M
148,Sherry,Bahrambeygui,PriceSmart,1/31/19,65343,85394,CEO,0,1,0,1,Sherry Bahrambeygui,F
149,Olivier,Filliol,Mettler-Toledo International,11/1/07,65772,85621,CEO,0,0,0,0,Olivier Filliol,M
150,Robert,Thomas,Charles & Colvard,7/17/00,65850,85539,CEO,0,0,0,0,Robert Thomas,M
151,Steven,Hanson,Inplay Technologies,7/2/07,66275,87138,CEO,0,0,0,0,Steven Hanson,M
152,Andrew,Hurst,Career Education Corporation,1/1/20,66379,,CEO,,,,,,
153,Michael,Dinkins,Access Worldwide Communications Inc,7/30/99,66454,85807,CEO,1,1,0,0,Michael Dinkins,M
154,Thomas,Burnell,Interpace Biosciences,11/25/20,110728,86083,CEO,0,0,0,0,Thomas Burnell,M
155,Richard,Parsons,Time Warner,12/5/01,120359,86926,CEO,1,1,0,0,Richard Parsons,M
156,Lloyd,Carney,Brocade Communications Systems,1/14/13,120774,86881,CEO,1,0,0,0,Lloyd Carney,M
157,Fran_ois,Locoh-Donou,F5 Networks,1/31/17,121077,86964,CEO,1,0,0,0,Fran_ois Locoh-Donou,M
